,model_name,instance_num,likelihood,outcome,viability,use_sparcity,use_similarity,use_dllh,use_ollh,mask_round
0,SimpleEvoGeneratorWrapper_top5_0001,0,0.45948383,0,0.24107801914215088,False,False,False,True,0
1,SimpleEvoGeneratorWrapper_top5_0001,0,0.45948383,0,0.24107801914215088,False,False,False,True,0
2,SimpleEvoGeneratorWrapper_top5_0001,0,0.45948383,0,0.24107801914215088,False,False,False,True,0
3,SimpleEvoGeneratorWrapper_top5_0001,0,0.45948383,0,0.24107801914215088,False,False,False,True,0
4,SimpleEvoGeneratorWrapper_top5_0001,0,0.45948383,0,0.24107801914215088,False,False,False,True,0
5,SimpleEvoGeneratorWrapper_top5_0001,1,0.5461286,1,0.22405415773391724,False,False,False,True,0
6,SimpleEvoGeneratorWrapper_top5_0001,1,0.5461286,1,0.22405415773391724,False,False,False,True,0
7,SimpleEvoGeneratorWrapper_top5_0001,1,0.5461286,1,0.22405415773391724,False,False,False,True,0
8,SimpleEvoGeneratorWrapper_top5_0001,1,0.5461286,1,0.22405415773391724,False,False,False,True,0
9,SimpleEvoGeneratorWrapper_top5_0001,1,0.5461286,1,0.22405415773391724,False,False,False,True,0
10,SimpleEvoGeneratorWrapper_top5_0001,2,0.466443,0,0.23407000303268433,False,False,False,True,0
11,SimpleEvoGeneratorWrapper_top5_0001,2,0.466443,0,0.23407000303268433,False,False,False,True,0
12,SimpleEvoGeneratorWrapper_top5_0001,2,0.466443,0,0.23407000303268433,False,False,False,True,0
13,SimpleEvoGeneratorWrapper_top5_0001,2,0.466443,0,0.23407000303268433,False,False,False,True,0
14,SimpleEvoGeneratorWrapper_top5_0001,2,0.466443,0,0.23407000303268433,False,False,False,True,0
15,CaseBasedGeneratorWrapper_top5_0001,0,0.22050458,0,0.0020987391471862793,False,False,False,True,0
16,CaseBasedGeneratorWrapper_top5_0001,0,0.2208692,0,0.0024633407592773438,False,False,False,True,0
17,CaseBasedGeneratorWrapper_top5_0001,0,0.22241308,0,0.004007220268249512,False,False,False,True,0
18,CaseBasedGeneratorWrapper_top5_0001,0,0.22733375,0,0.00892794132232666,False,False,False,True,0
19,CaseBasedGeneratorWrapper_top5_0001,0,0.2314959,0,0.013090074062347412,False,False,False,True,0
20,CaseBasedGeneratorWrapper_top5_0001,1,0.22050458,0,-0.009312689304351807,False,False,False,True,0
21,CaseBasedGeneratorWrapper_top5_0001,1,0.2208692,0,-0.008948087692260742,False,False,False,True,0
22,CaseBasedGeneratorWrapper_top5_0001,1,0.22241308,0,-0.007404208183288574,False,False,False,True,0
23,CaseBasedGeneratorWrapper_top5_0001,1,0.22733375,0,-0.0024834871292114258,False,False,False,True,0
24,CaseBasedGeneratorWrapper_top5_0001,1,0.2314959,0,0.0016786456108093262,False,False,False,True,0
25,CaseBasedGeneratorWrapper_top5_0001,2,0.22050458,0,-0.011868417263031006,False,False,False,True,0
26,CaseBasedGeneratorWrapper_top5_0001,2,0.2208692,0,-0.011503815650939941,False,False,False,True,0
27,CaseBasedGeneratorWrapper_top5_0001,2,0.22241308,0,-0.009959936141967773,False,False,False,True,0
28,CaseBasedGeneratorWrapper_top5_0001,2,0.22733375,0,-0.005039215087890625,False,False,False,True,0
29,CaseBasedGeneratorWrapper_top5_0001,2,0.2314959,0,-0.000877082347869873,False,False,False,True,0
30,RandomGeneratorWrapper_top5_0001,0,0.49557945,0,0.27717363834381104,False,False,False,True,0
31,RandomGeneratorWrapper_top5_0001,0,0.50414586,1,0.27744829654693604,False,False,False,True,0
32,RandomGeneratorWrapper_top5_0001,0,0.5023098,1,0.27928435802459717,False,False,False,True,0
33,RandomGeneratorWrapper_top5_0001,0,0.50166076,1,0.2799333930015564,False,False,False,True,0
34,RandomGeneratorWrapper_top5_0001,0,0.49836487,0,0.2799590229988098,False,False,False,True,0
35,RandomGeneratorWrapper_top5_0001,1,0.49726123,0,0.2674439549446106,False,False,False,True,0
36,RandomGeneratorWrapper_top5_0001,1,0.49828288,0,0.26846563816070557,False,False,False,True,0
37,RandomGeneratorWrapper_top5_0001,1,0.50153977,1,0.26864296197891235,False,False,False,True,0
38,RandomGeneratorWrapper_top5_0001,1,0.49889773,0,0.2690804600715637,False,False,False,True,0
39,RandomGeneratorWrapper_top5_0001,1,0.49893868,0,0.2691214084625244,False,False,False,True,0
40,RandomGeneratorWrapper_top5_0001,2,0.50298655,1,0.2646404504776001,False,False,False,True,0
41,RandomGeneratorWrapper_top5_0001,2,0.49725556,0,0.26488256454467773,False,False,False,True,0
42,RandomGeneratorWrapper_top5_0001,2,0.5014597,1,0.2661672830581665,False,False,False,True,0
43,RandomGeneratorWrapper_top5_0001,2,0.5009429,1,0.2666841149330139,False,False,False,True,0
44,RandomGeneratorWrapper_top5_0001,2,0.5004888,1,0.26713818311691284,False,False,False,True,0
