,case,num_cycle,num_offspring,avg_offspring_fitness,avg_zeros,num_survivors,avg_survivors_fitness,median_survivors_fitness,max_survivors_fitness,mutsum.1,mutsum.2,mutsum.3,mutsum.4,mutsum.0
0,0,0,100,-0.22194676397124663,0.035555555555555556,25,0.2912759791802976,0.413932065252572,0.5230241321952053,32,35,28,3,2.0
1,1,1,100,-0.1455980497075186,0.023703703703703703,25,0.4235521502326583,0.4651367088969467,0.5367667075602142,31,31,27,10,1.0
2,2,2,100,0.27071316365519593,0.031111111111111107,25,0.5000912282801255,0.4982205922890155,0.548410823590564,37,30,29,4,0.0
3,3,3,100,0.35514731671699373,0.026666666666666665,25,0.5086924735738854,0.5039783524106253,0.5705339556908824,24,34,36,4,2.0
4,4,4,100,0.44511708418819446,0.026666666666666665,25,0.5708208796336968,0.5591807849615913,0.6268579551708722,27,29,36,8,0.0
5,5,5,100,0.4608660087441224,0.04148148148148148,25,0.5664447997399544,0.5626254899370029,0.6121854916072427,25,20,45,9,1.0
6,6,6,100,0.5251803039860801,0.05333333333333333,25,0.6284696927284028,0.6243673891764598,0.6594050059774647,30,27,30,12,1.0
7,7,7,100,0.5456790936836527,0.05333333333333334,25,0.6519017772212564,0.6501485539196307,0.6903433344740675,30,29,34,5,2.0
8,8,8,100,0.5803232752601556,0.035555555555555556,25,0.6778932087517433,0.6699702651920184,0.7218048694398602,27,29,29,13,2.0
9,9,9,100,0.6157338909317227,0.047407407407407405,25,0.7145103867990553,0.7097016270136726,0.7567539485371888,32,26,30,11,1.0
