model,iteration,iteration.time,NA,num_cycle,n_selection,n_offspring,n_mutated,n_candidates,n_survivors,avg_zeros,avg_survivors_fitness,median_survivors_fitness,max_survivors_fitness,model.hparams.topk,model.hparams.sample_size,model.hparams.mrate.0,model.hparams.mrate.1,model.hparams.mrate.2,model.hparams.mrate.3,model.hparams.mrate.4,mutsum.DELETE,mutsum.INSERT,mutsum.CHANGE,mutsum.SWAP,mutsum.NONE
1,1,0:05:42.362615,1,0,25,100,100,200,25,0.029629629629629627,1.006080236838564,1.0002429479897508,1.0524907150093106,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,26,24,36,14
1,1,0:05:42.362615,2,1,25,100,100,125,25,0.031111111111111107,1.0266021941914436,1.0244127637731677,1.0524907150093106,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,19,36,37,7
1,1,0:05:42.362615,3,2,25,100,100,125,25,0.044444444444444446,1.062382670794267,1.0543965966112983,1.1167920222121972,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,2,27,28,34,9
1,1,0:05:42.362615,4,3,25,100,100,125,25,0.050370370370370364,1.095366270448962,1.0883884347384167,1.1786426648683415,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,27,26,39,8
1,1,0:05:42.362615,5,4,25,100,100,125,25,0.06814814814814815,1.1319289366300072,1.1235352774640401,1.1970374893552331,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,36,25,34,5
1,1,0:05:42.362615,6,5,25,100,100,125,25,0.06370370370370369,1.2097781007875614,1.2063160377385613,1.2558147812423297,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,29,28,36,6
1,1,0:05:42.362615,7,6,25,100,100,125,25,0.08,1.2460476691122686,1.244356946545453,1.2733757604115872,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,3,30,23,31,13
1,1,0:05:42.362615,8,7,25,100,100,125,25,0.10666666666666666,1.2714579661964014,1.2681798575146945,1.294535743195961,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,2,38,29,19,12
1,1,0:05:42.362615,9,8,25,100,100,125,25,0.10370370370370369,1.2886927485334232,1.2885223111439381,1.311096184309219,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,34,26,29,10
1,1,0:05:42.362615,10,9,25,100,100,125,25,0.10518518518518517,1.2972587321064752,1.295627585004063,1.311096184309219,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,34,25,32,9
1,1,0:05:42.362615,11,10,25,100,100,125,25,0.10962962962962962,1.31106146376073,1.3099407205749425,1.332880907344128,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,28,31,33,7
1,1,0:05:42.362615,12,11,25,100,100,125,25,0.11851851851851851,1.3178727109417292,1.3138853943113478,1.3456528246280661,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,29,35,27,9
1,1,0:05:42.362615,13,12,25,100,100,125,25,0.13925925925925925,1.3272050304842375,1.323900865278472,1.3576938241794583,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,2,32,29,28,9
1,1,0:05:42.362615,14,13,25,100,100,125,25,0.1703703703703704,1.3432023489563236,1.3378430567245374,1.3807266244708978,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,2,29,25,37,7
1,1,0:05:42.362615,15,14,25,100,100,125,25,0.19703703703703707,1.3552691212915975,1.3572866906540797,1.3807266244708978,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,25,37,29,9
1,1,0:05:42.362615,16,15,25,100,100,125,25,0.21333333333333332,1.3751474436817397,1.3695520382745583,1.3989678585088308,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,34,26,32,8
1,1,0:05:42.362615,17,16,25,100,100,125,25,0.22814814814814813,1.3868285442218191,1.384744128701056,1.4066579348243964,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,38,33,20,9
1,1,0:05:42.362615,18,17,25,100,100,125,25,0.23851851851851846,1.4213023702067156,1.4162916954371165,1.4581499509313631,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,31,31,31,7
1,1,0:05:42.362615,19,18,25,100,100,125,25,0.2651851851851852,1.452599074201392,1.446414401783224,1.4987596632797568,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,2,32,29,29,8
1,1,0:05:42.362615,20,19,25,100,100,125,25,0.2755555555555555,1.455717399049675,1.4479955389357515,1.4987596632797568,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,28,32,25,14
1,1,0:05:42.362615,21,20,25,100,100,125,25,0.28296296296296297,1.4601704348819333,1.4579421324048583,1.4987596632797568,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,26,34,33,7
