,run,instance.duration,instance.duration_s,instance.no,iteration.mean_num_zeros,iteration.mean_num_zeros_not_adjusted,iteration.mean_sparcity,iteration.mean_similarity,iteration.mean_feasibility,iteration.mean_delta,iteration.mean_viability,iteration.min_sparcity,iteration.min_similarity,iteration.min_feasibility,iteration.min_delta,iteration.min_viability,iteration.max_sparcity,iteration.max_similarity,iteration.max_feasibility,iteration.max_delta,iteration.max_viability,iteration.median_sparcity,iteration.median_similarity,iteration.median_feasibility,iteration.median_delta,iteration.median_viability,iteration.mean_pred_outcome,iteration.target_outcome,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.operators.vocab_len,row.operators.sample_size,row.operators.evo.num_survivors,row.operators.initiator.type,row.operators.selector.type,row.operators.crosser.type,row.operators.crosser.crossover_rate,row.operators.mutator.type,row.operators.mutator.edit_rate,row.operators.mutator.p_delete,row.operators.mutator.p_insert,row.operators.mutator.p_change,row.operators.recombiner.type,row.operators.recombiner.recombination_rate,row.avg_outcome,filename,wrapper_type,experiment_name
0,1,0:00:46.335519,46.33551907539368,1,0.3009746588693957,0.3009746588693957,0.4884220165799113,0.6527929567633407,0.0293914529918323,0.6150157765652005,1.7856222029002848,0.2435897435897436,0.5148575651244918,0.0,0.3333302438259125,1.2157029577507528,0.608058608058608,0.7265924388817631,0.2937697163148562,0.9988420009613036,2.283409195927934,0.4990842490842491,0.6624708270260524,0.0,0.335301399230957,1.7254634076771664,0.4284210526315789,1.0,1,1,1,500,200,400,400,950,0.3355822821941918,0.4608389557054855,0.2035787621003226,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,0.625,EGW_ES_EGW_SBI_ES_OPC_SBM_FSR_IM.csv,EvoGeneratorWrapper,overall
1,1,0:00:46.335519,46.33551907539368,1,0.2884814814814814,0.2884814814814815,0.4268150183150184,0.615881693676481,0.0119310792374996,0.9730436631441116,2.027671454373111,0.3232600732600732,0.5302272790947076,0.0,0.3333362340927124,1.8765846587027672,0.5686813186813187,0.703034826549654,0.2937697163148562,0.9988420009613036,2.283409195927934,0.4221611721611722,0.6135677887536608,0.0,0.9985817968845369,2.023652927604965,0.976,1.0,2,1,2,950,200,400,400,1000,0.3489702517162471,0.4739702517162471,0.1770594965675057,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,1.0,EGW_ES_EGW_SBI_ES_OPC_SBM_FSR_IM.csv,EvoGeneratorWrapper,overall
2,1,0:00:46.335519,46.33551907539368,1,0.2936666666666666,0.2936666666666667,0.4629075091575093,0.6374900116290453,0.0095379769547917,0.9926365208625794,2.1025720186039254,0.4065934065934066,0.5989036414539611,0.0,0.8532350659370422,2.032156361206077,0.5604395604395604,0.6958160680798502,0.1290844223426293,0.9988410472869872,2.283409195927934,0.4514652014652014,0.6328039629374953,0.0,0.9985993504524232,2.081649257188652,1.0,1.0,3,1,3,1000,200,400,400,1000,0.3437853107344633,0.4785310734463276,0.177683615819209,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,1.0,EGW_ES_EGW_SBI_ES_OPC_SBM_FSR_IM.csv,EvoGeneratorWrapper,overall
3,1,0:00:46.335519,46.33551907539368,1,0.2772592592592592,0.2772592592592592,0.4901996336996337,0.6516258672030029,0.0172430036110292,0.9912739883065224,2.1503424928201875,0.4386446886446886,0.6135677887536608,0.0,0.9233059883117676,2.08564607270218,0.5604395604395604,0.6958160680798502,0.1290844223426293,0.9988408088684082,2.283409195927934,0.4844322344322345,0.6491533739872297,0.0,0.9985876083374025,2.131676057691255,1.0,1.0,4,1,4,1000,200,400,400,1000,0.3615819209039548,0.469774011299435,0.1686440677966101,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,1.0,EGW_ES_EGW_SBI_ES_OPC_SBM_FSR_IM.csv,EvoGeneratorWrapper,overall
4,1,0:00:46.335519,46.33551907539368,1,0.2564444444444445,0.2564444444444444,0.515790293040293,0.6676067383934544,0.0249411585286901,0.9866556395888328,2.19499382955127,0.4697802197802198,0.6290532543664281,0.0,0.9233059883117676,2.1341883694609143,0.5604395604395604,0.6958160680798502,0.1290844223426293,0.9988400936126708,2.283409195927934,0.5173992673992673,0.6703842293944065,0.0,0.9975518584251404,2.191946928252042,1.0,1.0,5,1,5,1000,200,400,400,1000,0.3221902017291066,0.4668587896253602,0.2109510086455331,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,1.0,EGW_ES_EGW_SBI_ES_OPC_SBM_FSR_IM.csv,EvoGeneratorWrapper,overall
5,1,0:00:46.335519,46.33551907539368,1,0.2515185185185185,0.2515185185185185,0.5273360805860805,0.6756219385707825,0.0310012135510908,0.9961325239539146,2.2300917566618685,0.489010989010989,0.6630659906365032,0.0,0.9664793014526368,2.191946928252042,0.5604395604395604,0.6958160680798502,0.0985862370507215,0.998837947845459,2.283409195927934,0.521062271062271,0.6729744556402408,0.0335796253762469,0.9972286224365234,2.231233806242839,1.0,1.0,6,1,6,1000,200,400,400,1000,0.3285876993166287,0.4666856492027335,0.2047266514806378,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,1.0,EGW_ES_EGW_SBI_ES_OPC_SBM_FSR_IM.csv,EvoGeneratorWrapper,overall
6,1,0:00:46.335519,46.33551907539368,1,0.3062222222222222,0.3062222222222222,0.5351318681318681,0.6778528560426514,0.0443730054201863,0.9947632071971894,2.2521209367918957,0.5173992673992673,0.6696363200363874,0.0,0.9881693720817566,2.231233806242839,0.5604395604395604,0.6958160680798502,0.0985862370507215,0.9988228678703308,2.283409195927934,0.5402930402930404,0.6745106929016467,0.0335796253762469,0.9950401186943054,2.255078496389741,1.0,1.0,7,1,7,1000,200,400,400,1000,0.3134502923976608,0.4333333333333333,0.2532163742690058,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,1.0,EGW_ES_EGW_SBI_ES_OPC_SBM_FSR_IM.csv,EvoGeneratorWrapper,overall
7,1,0:00:46.335519,46.33551907539368,1,0.3542592592592592,0.3542592592592593,0.539768315018315,0.6823771157072479,0.0505656947917801,0.9968858299255372,2.2695969554428803,0.5192307692307692,0.6608946937304748,0.0,0.9950401186943054,2.255078496389741,0.5604395604395604,0.6958160680798502,0.0985862370507215,0.9988228678703308,2.283409195927934,0.5201465201465201,0.6696363200363874,0.0985862370507215,0.9950401186943054,2.283409195927934,1.0,1.0,8,1,8,1000,200,400,400,1000,0.2976085031000886,0.4068497195157957,0.2955417773841157,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,1.0,EGW_ES_EGW_SBI_ES_OPC_SBM_FSR_IM.csv,EvoGeneratorWrapper,overall
8,1,0:00:46.335519,46.33551907539368,1,0.4444444444444446,0.4444444444444444,0.5201465201465201,0.6696363200363875,0.0985862370507215,0.9950401186943054,2.283409195927934,0.5201465201465201,0.6696363200363874,0.0985862370507215,0.9950401186943054,2.283409195927934,0.5201465201465201,0.6696363200363874,0.0985862370507215,0.9950401186943054,2.283409195927934,0.5201465201465201,0.6696363200363874,0.0985862370507215,0.9950401186943054,2.283409195927934,1.0,1.0,9,1,9,1000,200,400,400,1000,0.2880658436213992,0.4056437389770723,0.3062904174015285,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,1.0,EGW_ES_EGW_SBI_ES_OPC_SBM_FSR_IM.csv,EvoGeneratorWrapper,overall
9,1,0:00:46.335519,46.33551907539368,1,0.4444444444444446,0.4444444444444444,0.5201465201465201,0.6696363200363875,0.0985862370507215,0.9950401186943054,2.283409195927934,0.5201465201465201,0.6696363200363874,0.0985862370507215,0.9950401186943054,2.283409195927934,0.5201465201465201,0.6696363200363874,0.0985862370507215,0.9950401186943054,2.283409195927934,0.5201465201465201,0.6696363200363874,0.0985862370507215,0.9950401186943054,2.283409195927934,1.0,1.0,10,1,10,1000,200,400,400,1000,0.3073490032728355,0.4055340672418923,0.2871169294852722,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,1.0,EGW_ES_EGW_SBI_ES_OPC_SBM_FSR_IM.csv,EvoGeneratorWrapper,overall
