run,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,0:03:21.722027,201.7220265865326,1,1,0,100,100,200,200,210,1,58,63,59,19,0.2469135802469136,1.5803979183522137,1.6497481377287904,2.3645037335356323,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,2,1,210,100,200,200,322,2,52,61,73,12,0.2622498274672187,1.6237504287266908,1.6902828195824497,2.3645037335356323,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,3,2,322,100,200,200,422,2,52,57,66,23,0.271370896963314,1.62964745307911,1.6830923711987864,2.3645037335356323,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,4,3,422,100,200,200,523,1,71,50,53,25,0.2790878832943843,1.62852944532788,1.681330326289555,2.3645037335356323,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,5,4,523,100,200,200,629,2,57,68,57,16,0.288464935523759,1.649982591021353,1.6840126453544382,10.297107839755904,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,6,5,629,100,200,200,738,2,64,53,58,23,0.29584462511291776,1.6790589817973296,1.6896523845532763,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,7,6,738,100,200,200,836,1,69,50,60,20,0.3018341307814992,1.6792834281483278,1.6896523845532763,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,8,7,836,100,200,200,937,2,60,63,61,14,0.3054270919799202,1.6771175926456372,1.688884316822374,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,9,8,937,100,200,200,1038,1,59,58,61,21,0.30792835224434445,1.6807553956528807,1.6884420189409441,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,10,9,1038,100,200,200,1129,6,68,53,51,22,0.3110586228389594,1.6838551784537847,1.6923418206964502,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,11,10,1129,100,200,200,1223,1,65,56,64,14,0.31588988825292996,1.6825327685582108,1.6922153308590895,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,12,11,1223,100,200,200,1327,2,54,73,57,14,0.31962935052611013,1.6844882499074618,1.6939918606660522,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,13,12,1327,100,200,200,1426,2,59,63,67,9,0.32307412601942753,1.6870881765665868,1.696357116569712,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,14,13,1426,100,200,200,1530,5,50,65,66,14,0.3238441055434519,1.6885409947306993,1.6977123762055706,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,15,14,1530,100,200,200,1631,3,51,63,64,19,0.32277403092853735,1.6871352122208683,1.69776066472257,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,16,15,1631,100,200,200,1731,0,58,60,59,23,0.3237477801313734,1.689003529668011,1.7009931225211243,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,17,16,1731,100,200,200,1828,2,60,53,69,16,0.324783207715374,1.6903990747522253,1.702191060742448,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,18,17,1828,100,200,200,1931,1,68,53,59,19,0.3259297619732628,1.6884203118380205,1.700733934849915,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,19,18,1931,100,200,200,2030,3,60,48,68,21,0.32630906768837803,1.6891865715928505,1.701365063921077,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,20,19,2030,100,200,200,2130,0,50,71,60,19,0.3276473656755347,1.6879038852750463,1.7006513461978212,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,21,20,2130,100,200,200,2222,2,67,52,61,18,0.32989965663232984,1.686337596571237,1.6985195777701176,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,22,21,2222,100,200,200,2318,5,67,49,56,23,0.3316396638225801,1.6847194560964216,1.6985195777701176,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,23,22,2318,100,200,200,2419,1,54,55,66,24,0.3321543949902776,1.6857842587181664,1.7003156816291385,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,24,23,2419,100,200,200,2508,5,73,48,55,19,0.33184180991198536,1.686205689042461,1.7007243280159818,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,25,24,2508,100,200,200,2598,3,48,65,65,19,0.3325777663729934,1.6872358056270327,1.7009318119003394,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,26,25,2598,100,200,200,2704,2,50,60,67,21,0.33400449265833876,1.6880745575271499,1.7018419064196517,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,27,26,2704,100,200,200,2807,4,58,53,67,18,0.33523334520840753,1.6896029661518723,1.7036525322913878,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,28,27,2807,100,200,200,2893,2,56,69,54,19,0.33659791834696773,1.6905113523653865,1.704694170120964,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,29,28,2893,100,200,200,2987,1,72,49,54,24,0.33723914741658295,1.6888856273961026,1.7040376680328215,17.468551829600933,0.9826784473946019
1,0:03:21.722027,201.7220265865326,1,30,29,2987,100,200,200,3090,1,46,54,79,20,0.33758839745894764,1.687756821976864,1.703694249942033,17.468551829600933,0.9826784473946019
