run,iteration,row.num_cycle,row.n_selection,row.n_offspring,row.n_mutated,row.n_candidates,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,2,0,100,100,100,200,25,1,29,26,35,9,0.0044444444444444444,1.0270318593207368,1.0181853098247178,1.1063171506705178
1,2,1,100,100,100,125,25,3,29,30,33,5,0.016296296296296295,1.0682935936212252,1.0627683756794681,1.1141451461094865
1,2,2,100,100,100,125,25,4,29,31,22,14,0.029629629629629627,1.1021619169925574,1.0991239939130772,1.137612099419654
1,2,3,100,100,100,125,25,1,31,24,31,13,0.05481481481481481,1.1347460439768773,1.1272338052969468,1.1900461216438034
1,2,4,100,100,100,125,25,0,39,25,27,9,0.04148148148148148,1.1594830438788533,1.1562006824276931,1.1900461216438034
1,2,5,100,100,100,125,25,0,33,32,29,6,0.08444444444444445,1.202693786522877,1.2041804566133858,1.254173385734677
1,2,6,100,100,100,125,25,1,36,31,24,8,0.11555555555555555,1.2444519757122525,1.2402808488494097,1.2690369650429139
1,2,7,100,100,100,125,25,1,31,32,29,7,0.13777777777777778,1.250103850468262,1.2479977665976052,1.2792190256847358
1,2,8,100,100,100,125,25,1,19,35,30,15,0.18666666666666668,1.2839374286804999,1.2792190256847358,1.3131240936732282
1,2,9,100,100,100,125,25,3,35,27,25,10,0.23555555555555557,1.3237555314855811,1.314387720376812,1.367911143684361
1,2,10,100,100,100,125,25,1,37,28,25,9,0.26814814814814814,1.3555288748138254,1.3529319134411932,1.3973525385095575
1,2,11,100,100,100,125,25,1,37,24,30,8,0.2859259259259259,1.3646085110623303,1.362647020128451,1.3973525385095575
1,2,12,100,100,100,125,25,0,27,31,33,9,0.3214814814814815,1.3872915781920574,1.3834129942015505,1.4286241920487832
1,2,13,100,100,100,125,25,0,20,37,32,11,0.35259259259259257,1.40365676643651,1.3973525385095575,1.4318341008454185
1,2,14,100,100,100,125,25,1,38,22,32,7,0.39259259259259255,1.4399081430037068,1.4352980732558707,1.4731479820165192
1,2,15,100,100,100,125,25,1,31,30,31,7,0.3955555555555555,1.4764632223830247,1.4760107180675996,1.5142112733402293
1,2,16,100,100,100,125,25,2,28,28,34,8,0.3985185185185184,1.4784510141153808,1.4801143586989476,1.5142112733402293
1,2,17,100,100,100,125,25,1,33,31,30,5,0.397037037037037,1.4812091754038588,1.4813780151148628,1.5142112733402293
1,2,18,100,100,100,125,25,0,28,24,43,5,0.41037037037037033,1.4880392760218877,1.4854802617400178,1.5142112733402293
1,2,19,100,100,100,125,25,0,25,36,28,11,0.4385185185185185,1.5072541872990672,1.5075367110695483,1.5381542926410385
1,2,20,100,100,100,125,25,2,35,27,27,9,0.4474074074074073,1.5087035587248414,1.5075367110695483,1.5381542926410385
1,2,21,100,100,100,125,25,2,31,28,34,5,0.4666666666666666,1.544602484565808,1.5381542926410385,1.5672249386559929
1,2,22,100,100,100,125,25,1,27,32,31,9,0.4888888888888889,1.5642678173717872,1.563726902997744,1.5709818211333455
1,2,23,100,100,100,125,25,1,28,31,28,12,0.4888888888888889,1.5642678173717872,1.563726902997744,1.5709818211333455
1,2,24,100,100,100,125,25,0,33,32,28,7,0.4888888888888889,1.5646651702209562,1.563728661334765,1.5709818211333455
1,2,25,100,100,100,125,25,1,27,35,30,7,0.4888888888888889,1.5659329989351094,1.5642289614427989,1.5784739017072797
1,2,26,100,100,100,125,25,2,34,25,29,10,0.4888888888888889,1.5659329989351094,1.5642289614427989,1.5784739017072797
