run,iteration,row.num_cycle,row.n_selection,row.n_offspring,row.n_mutated,row.n_candidates,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,2,0,100,100,100,200,25,1,33,33,25,8,0.11851851851851851,1.7269623831009184,1.7224952121434194,1.8205782377984736
1,2,1,100,100,100,125,25,0,24,43,25,8,0.11851851851851851,1.7269623831009184,1.7224952121434194,1.8205782377984736
1,2,2,100,100,100,125,25,3,27,26,33,11,0.11851851851851851,1.7269623831009184,1.7224952121434194,1.8205782377984736
1,2,3,100,100,100,125,25,0,30,31,30,9,0.11851851851851851,1.7269623831009184,1.7224952121434194,1.8205782377984736
1,2,4,100,100,100,125,25,1,34,36,22,7,0.11851851851851851,1.7269623831009184,1.7224952121434194,1.8205782377984736
1,2,5,100,100,100,125,25,1,23,33,32,11,0.11851851851851851,1.7269623831009184,1.7224952121434194,1.8205782377984736
1,2,6,100,100,100,125,25,1,27,24,37,11,0.11851851851851851,1.7269623831009184,1.7224952121434194,1.8205782377984736
1,2,7,100,100,100,125,25,1,35,22,32,10,0.11851851851851851,1.7269623831009184,1.7224952121434194,1.8205782377984736
1,2,8,100,100,100,125,25,0,29,27,32,12,0.11851851851851851,1.7269623831009184,1.7224952121434194,1.8205782377984736
1,2,9,100,100,100,125,25,0,28,24,40,8,0.11851851851851851,1.7269623831009184,1.7224952121434194,1.8205782377984736
1,2,10,100,100,100,125,25,1,28,24,39,8,0.11851851851851851,1.7269623831009184,1.7224952121434194,1.8205782377984736
1,2,11,100,100,100,125,25,1,38,27,26,8,0.11851851851851851,1.7269623831009184,1.7224952121434194,1.8205782377984736
1,2,12,100,100,100,125,25,1,31,36,21,11,0.12148148148148148,1.7269628830026769,1.7224952121434194,1.8205782377984736
1,2,13,100,100,100,125,25,0,23,34,32,11,0.12444444444444443,1.7271608362003967,1.7224952121434194,1.8205782377984736
1,2,14,100,100,100,125,25,0,26,32,35,7,0.12444444444444443,1.7271608362003967,1.7224952121434194,1.8205782377984736
1,2,15,100,100,100,125,25,0,27,38,27,8,0.12444444444444443,1.7271608362003967,1.7224952121434194,1.8205782377984736
1,2,16,100,100,100,125,25,1,36,27,32,4,0.12444444444444443,1.7271608362003967,1.7224952121434194,1.8205782377984736
1,2,17,100,100,100,125,25,0,21,34,37,8,0.12444444444444443,1.7271608362003967,1.7224952121434194,1.8205782377984736
1,2,18,100,100,100,125,25,0,26,21,42,11,0.12444444444444443,1.7271608362003967,1.7224952121434194,1.8205782377984736
1,2,19,100,100,100,125,25,1,27,42,21,9,0.12444444444444443,1.7271608362003967,1.7224952121434194,1.8205782377984736
1,2,20,100,100,100,125,25,2,38,34,19,7,0.12444444444444443,1.7271608362003967,1.7224952121434194,1.8205782377984736
1,2,21,100,100,100,125,25,0,32,31,29,8,0.12444444444444443,1.7271608362003967,1.7224952121434194,1.8205782377984736
1,2,22,100,100,100,125,25,1,28,28,34,9,0.12444444444444443,1.7274531439366718,1.7224952121434194,1.8205782377984736
1,2,23,100,100,100,125,25,1,34,28,30,7,0.12444444444444443,1.7274531439366718,1.7224952121434194,1.8205782377984736
1,2,24,100,100,100,125,25,1,30,24,33,12,0.12444444444444443,1.7287503658176593,1.7224952121434194,1.8205782377984736
1,2,25,100,100,100,125,25,2,30,25,34,9,0.1259259259259259,1.7296032558377004,1.7224952121434194,1.8205782377984736
1,2,26,100,100,100,125,25,0,33,23,39,5,0.1259259259259259,1.7296993527003468,1.7224952121434194,1.8205782377984736
1,2,27,100,100,100,125,25,2,34,28,26,10,0.13185185185185183,1.7302427551839088,1.7224952121434194,1.8205782377984736
1,2,28,100,100,100,125,25,2,33,21,37,7,0.13185185185185183,1.7302427551839088,1.7224952121434194,1.8205782377984736
1,2,29,100,100,100,125,25,0,32,23,35,10,0.13037037037037036,1.7308817637887295,1.7224952121434194,1.8205782377984736
1,2,30,100,100,100,125,25,1,33,33,24,9,0.13037037037037036,1.7308817637887295,1.7224952121434194,1.8205782377984736
1,2,31,100,100,100,125,25,0,32,28,36,4,0.13037037037037036,1.7308817637887295,1.7224952121434194,1.8205782377984736
1,2,32,100,100,100,125,25,1,22,22,39,16,0.13037037037037036,1.731618915777331,1.7224952121434194,1.8205782377984736
1,2,33,100,100,100,125,25,1,33,26,31,9,0.1362962962962963,1.7328157218755984,1.7225842420822723,1.8205782377984736
1,2,34,100,100,100,125,25,1,30,27,31,11,0.13925925925925925,1.733527393455975,1.7225842420822723,1.8205782377984736
1,2,35,100,100,100,125,25,0,29,25,34,12,0.14074074074074072,1.7343012314519028,1.7225842420822723,1.8205782377984736
1,2,36,100,100,100,125,25,2,23,36,30,9,0.14074074074074072,1.7343012314519028,1.7225842420822723,1.8205782377984736
1,2,37,100,100,100,125,25,1,31,30,31,7,0.1451851851851852,1.7359824857172999,1.7230148582622138,1.8205782377984736
1,2,38,100,100,100,125,25,1,31,32,30,6,0.14814814814814817,1.7366516685916356,1.7274800570005104,1.8205782377984736
1,2,39,100,100,100,125,25,2,26,34,31,7,0.16148148148148145,1.7379907572038462,1.7274800570005104,1.8205782377984736
1,2,40,100,100,100,125,25,0,34,32,27,7,0.16740740740740737,1.7411639195294077,1.7312258624556374,1.8205782377984736
1,2,41,100,100,100,125,25,0,40,28,24,8,0.16592592592592592,1.7422237294588296,1.7345784629185752,1.8205782377984736
1,2,42,100,100,100,125,25,1,24,29,34,12,0.17925925925925923,1.7500741028017586,1.7421921018728896,1.8205782377984736
1,2,43,100,100,100,125,25,2,29,32,30,7,0.1822222222222222,1.752221645906381,1.7435300420114845,1.8205782377984736
1,2,44,100,100,100,125,25,2,29,33,27,9,0.18814814814814812,1.7525812357193724,1.7461684325126963,1.8205782377984736
1,2,45,100,100,100,125,25,0,24,37,30,9,0.19259259259259257,1.7535928821354725,1.7468932491740956,1.8205782377984736
1,2,46,100,100,100,125,25,0,31,31,28,10,0.1985185185185185,1.7553113690007742,1.7502342485631739,1.8205782377984736
