run,instance.duration_sec,instance.short_name,instance.full_name,instance.no,iteration.mean_num_zeros,iteration.mean_num_zeros_not_adjusted,iteration.mean_sparcity,iteration.mean_similarity,iteration.mean_feasibility,iteration.mean_delta,iteration.mean_viability,iteration.min_sparcity,iteration.min_similarity,iteration.min_feasibility,iteration.min_delta,iteration.min_viability,iteration.max_sparcity,iteration.max_similarity,iteration.max_feasibility,iteration.max_delta,iteration.max_viability,iteration.median_sparcity,iteration.median_similarity,iteration.median_feasibility,iteration.median_delta,iteration.median_viability,iteration.no,row.no,row.quick_fix
1,7.944652080535889,OD4ELGSLSTMGM_SVAEGW_32_32_IM,OutcomeDice4ELGeneratorsSimpleLSTMGeneratorModel_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,1,0.0,0.0,0.23529411764705888,0.3135917084863546,0.0,0.3333321511745453,0.8822179773079587,0.23529411764705888,0.3135917056309354,0.0,0.3333321511745453,0.8822179744525396,0.23529411764705888,0.3135917656060182,0.0,0.3333321511745453,0.8822180344276224,0.23529411764705888,0.3135917081562021,0.0,0.3333321511745453,0.8822179769778062,1,1,True
1,5.251424789428711,OD4ELGSLSTMGM_SVAEGW_32_32_IM,OutcomeDice4ELGeneratorsSimpleLSTMGeneratorModel_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,2,0.0,0.0,0.2058823529411766,0.35102284808100626,0.0,0.3333321511745453,0.8902373521967281,0.20588235294117652,0.3508452394278865,0.0,0.3333321511745453,0.8900597435436083,0.20588235294117652,0.35102406656980467,0.0,0.3333321511745453,0.8902385706855265,0.20588235294117652,0.3510237390820733,0.0,0.3333321511745453,0.8902382431977951,1,1,True
1,5.114635229110718,OD4ELGSLSTMGM_SVAEGW_32_32_IM,OutcomeDice4ELGeneratorsSimpleLSTMGeneratorModel_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,3,0.0,0.0,0.2745098039215686,0.3249069604445858,0.0,0.33333268761634827,0.9327494519825029,0.27450980392156865,0.3249069590318403,0.0,0.33333268761634827,0.9327494505697572,0.27450980392156865,0.32490697491439735,0.0,0.33333268761634827,0.9327494664523143,0.27450980392156865,0.3249069603553866,0.0,0.33333268761634827,0.9327494518933035,1,1,True
1,5.079533338546753,OD4ELGSLSTMGM_SVAEGW_32_32_IM,OutcomeDice4ELGeneratorsSimpleLSTMGeneratorModel_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,4,0.0,0.0,0.2450980392156863,0.3347714975904751,0.0,0.33333268761634827,0.9132022244225095,0.2450980392156863,0.33477137216705044,0.0,0.33333268761634827,0.913202098999085,0.2450980392156863,0.3347843077652528,0.0,0.33333268761634827,0.9132150345972874,0.2450980392156863,0.3347714325419088,0.0,0.33333268761634827,0.9132021593739433,1,1,True
1,5.028305292129517,OD4ELGSLSTMGM_SVAEGW_32_32_IM,OutcomeDice4ELGeneratorsSimpleLSTMGeneratorModel_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,5,0.0,0.0,0.2450980392156863,0.3520646094305539,0.0,0.33333268761634827,0.9304953362625884,0.2450980392156863,0.35206217364376013,0.0,0.33333268761634827,0.9304929004757947,0.2450980392156863,0.35206582339523673,0.0,0.33333268761634827,0.9304965502272713,0.2450980392156863,0.3520646160401144,0.0,0.33333268761634827,0.930495342872149,1,1,True
1,4.879258632659912,OD4ELGSLSTMGM_SVAEGW_32_32_IM,OutcomeDice4ELGeneratorsSimpleLSTMGeneratorModel_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,6,0.0,0.0,0.2549019607843137,0.3708280129624365,0.0,0.9996245503425598,1.6253545240893095,0.2549019607843137,0.3708253037175778,0.0,0.9996245503425598,1.6253518148444512,0.2549019607843137,0.3708280349045374,0.0,0.9996245503425598,1.625354546031411,0.2549019607843137,0.3708280265008852,0.0,0.9996245503425598,1.6253545376277587,1,1,True
1,4.835344076156616,OD4ELGSLSTMGM_SVAEGW_32_32_IM,OutcomeDice4ELGeneratorsSimpleLSTMGeneratorModel_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,7,0.0,0.0,0.284313725490196,0.3350791924441736,0.0,0.9996245503425598,1.6190174682769298,0.28431372549019607,0.33505710480680273,0.0,0.9996245503425598,1.6189953806395585,0.28431372549019607,0.3350891431419013,0.0,0.9996245503425598,1.6190274189746572,0.28431372549019607,0.3350792429203898,0.0,0.9996245503425598,1.6190175187531457,1,1,True
1,4.745222330093384,OD4ELGSLSTMGM_SVAEGW_32_32_IM,OutcomeDice4ELGeneratorsSimpleLSTMGeneratorModel_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,8,0.0,0.0,0.2549019607843137,0.27835926082268747,0.0,0.9996245503425598,1.5328857719495608,0.2549019607843137,0.27835797794632033,0.0,0.9996245503425598,1.5328844890731939,0.2549019607843137,0.2783593808213771,0.0,0.9996245503425598,1.5328858919482506,0.2549019607843137,0.278359266617478,0.0,0.9996245503425598,1.5328857777443514,1,1,True
1,4.653414487838745,OD4ELGSLSTMGM_SVAEGW_32_32_IM,OutcomeDice4ELGeneratorsSimpleLSTMGeneratorModel_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,9,0.0,0.0,0.06862745098039214,0.2167909566462091,0.0,0.9996245503425598,1.285042957969161,0.06862745098039214,0.21679089488048275,0.0,0.9996245503425598,1.2850428962034348,0.06862745098039214,0.2167909582732912,0.0,0.9996245503425598,1.2850429595962432,0.06862745098039214,0.2167909570658091,0.0,0.9996245503425598,1.285042958388761,1,1,True
1,4.799983978271484,OD4ELGSLSTMGM_SVAEGW_32_32_IM,OutcomeDice4ELGeneratorsSimpleLSTMGeneratorModel_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,10,0.0,0.0,0.284313725490196,0.36286090840089075,0.0,0.9996245503425598,1.6467991842336465,0.28431372549019607,0.3628605738140184,0.0,0.9996245503425598,1.6467988496467743,0.28431372549019607,0.3629272301436768,0.0,0.9996245503425598,1.6468655059764328,0.28431372549019607,0.362860574472873,0.0,0.9996245503425598,1.646798850305629,1,1,True
