run,instance.duration_sec,instance.short_name,instance.full_name,instance.no,iteration.mean_num_zeros,iteration.mean_num_events,iteration.mean_sparcity,iteration.mean_similarity,iteration.mean_feasibility,iteration.mean_delta,iteration.mean_viability,iteration.min_sparcity,iteration.min_similarity,iteration.min_feasibility,iteration.min_delta,iteration.min_viability,iteration.max_sparcity,iteration.max_similarity,iteration.max_feasibility,iteration.max_delta,iteration.max_viability,iteration.median_sparcity,iteration.median_similarity,iteration.median_feasibility,iteration.median_delta,iteration.median_viability,iteration.mean_pred_outcome,iteration.target_outcome,iteration.rel_mean_num_zeros,iteration.rel_mean_num_events,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.operators.vocab_len,row.operators.sample_size,row.operators.evo.num_survivors,row.operators.initiator.type,row.operators.selector.type,row.operators.crosser.type,row.operators.crosser.crossover_rate,row.operators.mutator.type,row.operators.mutator.edit_rate,row.operators.mutator.p_delete,row.operators.mutator.p_insert,row.operators.mutator.p_change,row.operators.mutator.p_transp,row.operators.recombiner.type,row.operators.recombiner.recombination_rate,row.avg_outcome,row.sample_size,row.population_size
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7265454545454545,0.27345454545454534,0.9450350877192981,0.9817615609637093,2.7726166874373735e-13,0.9882751970291138,2.9150718457123985,0.9442355889724311,0.9770342296972149,7.559977544171389e-14,0.988265335559845,2.913873759160694,0.9492481203007519,0.983549868714367,2.4218263943169116e-11,0.9894540309906006,2.916639176147998,0.9442355889724311,0.9820254252033433,7.559977544171389e-14,0.9882656931877136,2.9145267073635637,0.0,0.0,0.999,1.0026666666666666,11,1,11,1000,100,200,200,1000,0.2037037037037037,0.2037037037037037,0.5925925925925926,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7261818181818182,0.2738181818181817,0.945799498746867,0.9816117480057035,4.704029820855565e-13,0.9882847037315369,2.915695950484578,0.9442355889724311,0.9770342296972149,7.559977544171389e-14,0.988265335559845,2.9145267073635637,0.9492481203007519,0.983549868714367,2.4218263943169116e-11,0.9894540309906006,2.916639176147998,0.9442355889724311,0.983549868714367,7.559977544171389e-14,0.9882656931877136,2.916051150874587,0.0,0.0,0.9985,1.004,12,1,12,1000,100,200,200,1000,0.23076923076923078,0.25,0.5192307692307693,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7265454545454545,0.27345454545454534,0.9464812030075186,0.9812841686854931,4.618824021253523e-13,0.988303719997406,2.9160690916908796,0.9442355889724311,0.9770342296972149,7.559977544171389e-14,0.9882656931877136,2.9145480431857558,0.9492481203007519,0.983549868714367,2.4218263943169116e-11,0.9894540309906006,2.916639176147998,0.9442355889724311,0.983549868714367,7.559977544171389e-14,0.9882656931877136,2.916051150874587,0.0,0.0,0.999,1.0026666666666668,13,1,13,1000,100,200,200,1000,0.23076923076923078,0.23076923076923078,0.5384615384615384,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7272727272727273,0.2727272727272726,0.9480852130325811,0.9798531866389807,7.55997754417139e-14,0.9883417468070984,2.916280146478736,0.9442355889724311,0.9787865066394971,7.559977544171389e-14,0.9882656931877136,2.916051150874587,0.9492481203007519,0.983549868714367,7.559977544171389e-14,0.9894540309906006,2.916639176147998,0.9492481203007519,0.9787865066394971,7.559977544171389e-14,0.9882656931877136,2.916300320128038,0.0,0.0,1.0,1.0,14,1,14,1000,100,200,200,1000,0.2,0.12,0.68,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7272727272727273,0.2727272727272726,0.9483859649122803,0.9799021117145356,7.55997754417139e-14,0.988441567182541,2.9167296438094326,0.9442355889724311,0.9787865066394971,7.559977544171389e-14,0.9882656931877136,2.916300320128038,0.9492481203007519,0.9853702401877715,7.559977544171389e-14,0.9894540309906006,2.9207271556724415,0.9492481203007519,0.9787865066394971,7.559977544171389e-14,0.9882656931877136,2.916300320128038,0.0,0.0,1.0,1.0,15,1,15,1000,100,200,200,1000,0.28888888888888886,0.1111111111111111,0.6,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7272727272727273,0.2727272727272726,0.9475238095238093,0.9810177167895738,7.55997754417139e-14,0.9886174411773682,2.917158967490827,0.9442355889724311,0.9787865066394971,7.559977544171389e-14,0.9882656931877136,2.916300320128038,0.9492481203007519,0.9853702401877715,7.559977544171389e-14,0.9894540309906006,2.9207271556724415,0.9492481203007519,0.9817982267202073,7.559977544171389e-14,0.9882656931877136,2.916639176147998,0.0,0.0,1.0,1.0,16,1,16,1000,100,200,200,1000,0.2222222222222222,0.19047619047619047,0.5873015873015873,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7272727272727273,0.2727272727272726,0.9463609022556388,0.9826929949070752,7.55997754417139e-14,0.9889359157085419,2.917989812871332,0.9442355889724311,0.9810302621223329,7.559977544171389e-14,0.9882656931877136,2.916639176147998,0.9492481203007519,0.9853702401877715,7.559977544171389e-14,0.9894540309906006,2.9207271556724415,0.9442355889724311,0.9829495561848908,7.559977544171389e-14,0.9894540309906006,2.91892882729351,0.0,0.0,1.0,1.0,17,1,17,1000,100,200,200,1000,0.13114754098360656,0.2459016393442623,0.6229508196721312,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7272727272727273,0.2727272727272726,0.9484210526315787,0.9824473597312035,7.55997754417139e-14,0.9884463205337525,2.9193147328966114,0.9442355889724311,0.9817982267202073,7.559977544171389e-14,0.9882656931877136,2.919059860150879,0.9492481203007519,0.9853702401877715,7.559977544171389e-14,0.9894540309906006,2.9207271556724415,0.9492481203007519,0.9817982267202073,7.559977544171389e-14,0.9882656931877136,2.9193120402087485,0.0,0.0,1.0,1.0,18,1,18,1000,100,200,200,1000,0.17543859649122806,0.21052631578947367,0.6140350877192983,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7272727272727273,0.2727272727272726,0.9486867167919797,0.982305725143852,7.55997754417139e-14,0.9883797736167907,2.9193722155526993,0.9442355889724311,0.9817982267202073,7.559977544171389e-14,0.9882656931877136,2.919059860150879,0.9492481203007519,0.9853702401877715,7.559977544171389e-14,0.9894540309906006,2.9207271556724415,0.9492481203007519,0.9817982267202073,7.559977544171389e-14,0.9882656931877136,2.9193120402087485,0.0,0.0,1.0,1.0,19,1,19,1000,100,200,200,1000,0.14285714285714285,0.24489795918367346,0.6122448979591837,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7272727272727273,0.2727272727272726,0.9490275689223056,0.9821461238184978,7.55997754417139e-14,0.988303719997406,2.9194774127382863,0.9473684210526316,0.9817982267202073,7.559977544171389e-14,0.9882656931877136,2.9193120402087485,0.9492481203007519,0.9839399916830652,7.559977544171389e-14,0.9894540309906006,2.9207271556724415,0.9492481203007519,0.9817982267202073,7.559977544171389e-14,0.9882656931877136,2.9193120402087485,0.0,0.0,1.0,1.0,20,1,20,1000,100,200,200,1000,0.2753623188405797,0.18840579710144928,0.5362318840579711,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
