experiment,wrapper,model_name,rank,likelihood,outcome,viability,sparcity,similarity,dllh,ollh,source_outcome,target_outcome,cf,fa,run.mask,run.duration,run.duration_sec,run.no,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,viab.num_training_data,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.no,iteration.no,row.no,gen.max_iter,gen.num_survivors,gen.sample_size,gen.evo.num_survivors,gen.initiator.type,gen.selector.type,gen.crosser.type,gen.crosser.crossover_rate,gen.mutator.type,gen.mutator.p_delete,gen.mutator.p_insert,gen.mutator.p_change,gen.mutator.p_transp,gen.mutator.p_none,gen.recombiner.type,gen.recombiner.recombination_rate
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,40,0.022411171346902847,0,1.7628172238206632,0.4567307692307693,0.8124349452964597,8.461077978039369e-12,0.49365150928497314,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 15 > 16 > 14 > 17 > 20 > 17 > 29 > 27 > 26 > 28 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,11,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,39,0.02220807783305645,0,1.762943089219711,0.485576923076923,0.783613120335029,1.0411231170597349e-11,0.493753045797348,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 29 > 27 > 28 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,12,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,38,0.022757316008210182,0,1.765111443055505,0.48197115384615385,0.7896618420033482,7.135158780146579e-12,0.4934784471988678,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 15 > 16 > 14 > 17 > 28 > 27 > 26 > 29 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,13,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,37,0.02111617662012577,0,1.7657535616398723,0.49158653846153844,0.7798680286205784,1.658731766541086e-11,0.4942989945411682,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 29 > 26 > 27 > 28 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,14,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,36,0.021780209615826607,0,1.7661976947312588,0.4795673076923077,0.7926633903386426,3.053914617881529e-11,0.4939669966697693,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 15 > 16 > 14 > 17 > 26 > 29 > 27 > 28 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,15,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,35,0.02993675321340561,0,1.7663934901257992,0.4903846153846154,0.7861201470680603,8.175849582542086e-12,0.4898887276649475,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 27 > 29 > 28 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,16,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,34,0.021697191521525383,0,1.7666306956761295,0.485576923076923,0.7870452612789924,1.5358546968237444e-11,0.49400851130485535,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 15 > 16 > 14 > 17 > 29 > 28 > 26 > 27 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,17,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,33,0.022969882935285568,0,1.7673148466643573,0.4903846153846154,0.7835580889471996,1.7631495505079547e-11,0.4933721423149109,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 15 > 16 > 14 > 17 > 26 > 27 > 29 > 28 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,18,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,32,0.021917685866355896,0,1.767400155154597,0.48197115384615385,0.7915307585771134,1.9309087661506338e-11,0.4938982427120209,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 15 > 16 > 14 > 17 > 26 > 29 > 28 > 27 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,19,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,31,0.022569401189684868,0,1.771689483359695,0.484375,0.7937420992272923,1.3368775428926566e-11,0.4935723841190338,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 27 > 28 > 29 > 26 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,20,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,30,0.02187989465892315,0,1.7733256995286673,0.5108173076923077,0.7685912544471972,4.7478127320774604e-12,0.4939171373844147,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 15 > 16 > 14 > 17 > 26 > 27 > 29 > 28 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,21,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,29,0.021666575223207474,0,1.7742719555703854,0.4807692307692307,0.7994789248801634,2.475100284662149e-11,0.49402379989624023,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 15 > 16 > 14 > 17 > 26 > 27 > 28 > 29 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,22,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,28,0.021287614479660988,0,1.7745932484969016,0.49278846153846156,0.7875915038894871,6.971713410631298e-12,0.4942132830619812,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 15 > 16 > 14 > 17 > 27 > 29 > 28 > 26 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,23,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,27,0.020499080419540405,0,1.7756320133241794,0.49158653846153844,0.789437907068756,6.714735885193864e-12,0.4946075677871704,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 15 > 16 > 14 > 17 > 29 > 28 > 26 > 27 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,24,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,26,0.0225751344114542,0,1.7760846290562315,0.5012019230769231,0.7813131828812345,1.9892269803737355e-12,0.4935695230960846,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 28 > 29 > 27 > 26 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,25,,,,,,,,,,,,,,,,
1,CaseBasedGeneratorWrapper,CaseBasedGenerator,25,0.02155379019677639,0,1.7766262708826088,0.5,0.7825460849715151,2.089602035160006e-11,0.49408018589019775,1,0,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 27 > 29 > 28 > 20,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 08 > 24 > 10 > 11 > 12 > 14 > 13 > 14 > 13 > 24 > 25 > 14,1111,0:00:11.908914,11.90891432762146,1,34,27,16,1,CaseBasedGenerator,399,34,27,1111,ImprovementMeasure,1,1,26,,,,,,,,,,,,,,,,
