experiment,run.no,instance.ddist.type,instance.ddist.name,instance.ddist.transition_estimator,instance.ddist.emission_estimator,instance.evaluator.data_distribution,instance.evaluator.vocab_len,instance.evaluator.max_len,instance.evaluator.measure_mask,instance.evaluator.type,instance.no,iteration.case_origin,iteration.no,row.no,row.prob,row.tprob,row.eprob,row.sparsity,row.similarity,row.feasibility,row.delta,row.viability,row.pred_score,row.true_outcome,row.pred_outcome,row.event
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,true_cases,11,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.6794871794871795,0.845149822611945,0.3191827767762926,0.3333333432674408,2.177153122142858,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,sampled_cases,12,1,0.0,0.0,1.2166519064155663e-15,0.532967032967033,0.625788856294193,0.0,0.33338454365730286,1.4921404329185288,0.0003385127638466656,0,0,[ 0.  0.  0.  0. 33.  1.  2.  3.  4. 23.  5.  7.  9. 10. 11. 12.  6. 13. 15. 16. 14. 13. 15. 16. 14. 13. 14.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,true_cases,13,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.6272893772893773,0.8181824698233008,0.3191827767762926,0.3333333432674408,2.0979879671564117,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,sampled_cases,14,1,0.0,0.0,1.2166519064155663e-15,0.4908424908424909,0.6598621845241032,0.0,0.33338454365730286,1.4840892190238968,0.0003385127638466656,0,0,[ 0.  0.  0.  0. 33.  1.  2.  3.  4. 23.  5.  7.  9. 10. 11. 12.  6. 13. 15. 16. 14. 13. 15. 16. 14. 13. 14.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,true_cases,15,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.6135531135531136,0.8063598243383908,0.3191827767762926,0.3333333432674408,2.072429057935238,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,sampled_cases,16,1,0.0,0.0,1.2166519064155663e-15,0.48168498168498164,0.6140472578564321,0.0,0.33338454365730286,1.4291167831987166,0.0003385127638466656,0,0,[ 0.  0.  0.  0. 33.  1.  2.  3.  4. 23.  5.  7.  9. 10. 11. 12.  6. 13. 15. 16. 14. 13. 15. 16. 14. 13. 14.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,true_cases,17,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.510989010989011,0.7697331587732363,0.3191827767762926,0.9991915822029114,2.5990965287414514,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,sampled_cases,18,1,0.0,0.0,1.2166519064155663e-15,0.5338827838827838,0.6546437184571817,0.0,0.9991403222084045,2.18766682454837,0.0003385127638466656,0,0,[ 0.  0.  0.  0. 33.  1.  2.  3.  4. 23.  5.  7.  9. 10. 11. 12.  6. 13. 15. 16. 14. 13. 15. 16. 14. 13. 14.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,true_cases,19,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.684981684981685,0.8454574493770212,0.3191827767762926,0.3333333432674408,2.1829552544024398,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,sampled_cases,20,1,0.0,0.0,1.2166519064155663e-15,0.6208791208791209,0.6830564523727041,0.0,0.33338454365730286,1.6373201169091278,0.0003385127638466656,0,0,[ 0.  0.  0.  0. 33.  1.  2.  3.  4. 23.  5.  7.  9. 10. 11. 12.  6. 13. 15. 16. 14. 13. 15. 16. 14. 13. 14.]
