experiment,model_name,rank,likelihood,viability,sparcity,similarity,feasibility,delta,cf_num_zeros,result_outcome,source_outcome,target_outcome,cf,fa,run.duration_sec,run.mask,run.short_name,run.full_name,run.no,wrapper.type,wrapper.max_len,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,viab.data_distribution,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.no,iteration.no,row.no,gen.max_iter,gen.num_survivors,gen.sample_size,gen.evo.num_survivors,gen.initiator.type,gen.selector.type,gen.crosser.type,gen.crosser.crossover_rate,gen.mutator.type,gen.mutator.edit_rate,gen.mutator.p_delete,gen.mutator.p_insert,gen.mutator.p_change,gen.mutator.p_transp,gen.recombiner.type,gen.recombiner.recombination_rate
1,CaseBasedGenerator,40,0.5983157157897949,1.8070387655644078,0.5357142857142857,0.6002465937183983,0.3809160082611643,0.2901618778705597,24,1,1,0,24 > 01 > 02,24 > 01 > 02 > 03 > 09 > 09 > 09 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 10 > 10 > 10 > 05 > 21 > 07 > 08 > 10 > 10 > 21 > 22 > 10,9.414626598358154,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,26,27,7,1,CaseBasedGenerator,35151,26,27,1111,ImprovementMeasure,1,1,11,,,,,,,,,,,,,,,,
1,CaseBasedGenerator,39,0.0103409793227911,1.8101853435924187,0.478021978021978,0.5636754352723845,2.0482649170537976e-13,0.7684879302978516,7,0,1,0,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09 > 11 > 10 > 16 > 19 > 14 > 13 > 12 > 15 > 16 > 25,24 > 01 > 02 > 03 > 09 > 09 > 09 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 10 > 10 > 10 > 05 > 21 > 07 > 08 > 10 > 10 > 21 > 22 > 10,9.414626598358154,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,26,27,7,1,CaseBasedGenerator,35151,26,27,1111,ImprovementMeasure,1,1,12,,,,,,,,,,,,,,,,
1,CaseBasedGenerator,38,0.4845437705516815,1.8169268180412343,0.5192307692307692,0.5906845806472915,0.25465870594088347,0.45235276222229004,25,0,1,0,24 > 01,24 > 01 > 02 > 03 > 09 > 09 > 09 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 10 > 10 > 10 > 05 > 21 > 07 > 08 > 10 > 10 > 21 > 22 > 10,9.414626598358154,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,26,27,7,1,CaseBasedGenerator,35151,26,27,1111,ImprovementMeasure,1,1,13,,,,,,,,,,,,,,,,
1,CaseBasedGenerator,37,0.4845437705516815,1.8169268180412343,0.5192307692307692,0.5906845806472915,0.25465870594088347,0.45235276222229004,25,0,1,0,24 > 01,24 > 01 > 02 > 03 > 09 > 09 > 09 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 10 > 10 > 10 > 05 > 21 > 07 > 08 > 10 > 10 > 21 > 22 > 10,9.414626598358154,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,26,27,7,1,CaseBasedGenerator,35151,26,27,1111,ImprovementMeasure,1,1,14,,,,,,,,,,,,,,,,
1,CaseBasedGenerator,36,0.010341379791498184,1.8222702255952155,0.478021978021978,0.5757606135466422,1.751967550885707e-09,0.7684876322746277,7,0,1,0,24 > 01 > 02 > 03 > 09 > 04 > 06 > 05 > 07 > 08 > 09 > 10 > 11 > 10 > 14 > 13 > 12 > 15 > 16 > 25,24 > 01 > 02 > 03 > 09 > 09 > 09 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 10 > 10 > 10 > 05 > 21 > 07 > 08 > 10 > 10 > 21 > 22 > 10,9.414626598358154,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,26,27,7,1,CaseBasedGenerator,35151,26,27,1111,ImprovementMeasure,1,1,15,,,,,,,,,,,,,,,,
1,CaseBasedGenerator,35,0.010356811806559563,1.8353227033664992,0.49725274725274726,0.5695925162332878,9.30372012826615e-14,0.7684774398803711,8,0,1,0,24 > 01 > 02 > 03 > 20 > 04 > 06 > 05 > 07 > 08 > 09 > 11 > 10 > 16 > 16 > 19 > 19 > 19 > 13,24 > 01 > 02 > 03 > 09 > 09 > 09 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 10 > 10 > 10 > 05 > 21 > 07 > 08 > 10 > 10 > 21 > 22 > 10,9.414626598358154,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,26,27,7,1,CaseBasedGenerator,35151,26,27,1111,ImprovementMeasure,1,1,16,,,,,,,,,,,,,,,,
1,CaseBasedGenerator,34,0.010452860966324806,1.8435989424909893,0.510989010989011,0.5641965666136433,1.0975902678155809e-12,0.7684133648872375,8,0,1,0,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09 > 11 > 10 > 16 > 14 > 15 > 12 > 13 > 16 > 25,24 > 01 > 02 > 03 > 09 > 09 > 09 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 10 > 10 > 10 > 05 > 21 > 07 > 08 > 10 > 10 > 21 > 22 > 10,9.414626598358154,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,26,27,7,1,CaseBasedGenerator,35151,26,27,1111,ImprovementMeasure,1,1,17,,,,,,,,,,,,,,,,
1,CaseBasedGenerator,33,0.01034143753349781,1.846097088577913,0.49725274725274726,0.5803567090501731,3.651100098657234e-13,0.7684876322746277,9,0,1,0,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09 > 11 > 10 > 14 > 15 > 13 > 12 > 16 > 25,24 > 01 > 02 > 03 > 09 > 09 > 09 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 10 > 10 > 10 > 05 > 21 > 07 > 08 > 10 > 10 > 21 > 22 > 10,9.414626598358154,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,26,27,7,1,CaseBasedGenerator,35151,26,27,1111,ImprovementMeasure,1,1,18,,,,,,,,,,,,,,,,
1,CaseBasedGenerator,32,0.010341662913560867,1.8478030008506732,0.5164835164835164,0.562832030906296,1.6748805356571976e-13,0.7684874534606934,7,0,1,0,24 > 01 > 02 > 03 > 20 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 10 > 14 > 13 > 15 > 12 > 16 > 25,24 > 01 > 02 > 03 > 09 > 09 > 09 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 10 > 10 > 10 > 05 > 21 > 07 > 08 > 10 > 10 > 21 > 22 > 10,9.414626598358154,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,26,27,7,1,CaseBasedGenerator,35151,26,27,1111,ImprovementMeasure,1,1,19,,,,,,,,,,,,,,,,
1,CaseBasedGenerator,31,0.010341379791498184,1.8526533751042458,0.4807692307692307,0.6033965120601561,2.312305567810411e-13,0.7684876322746277,9,0,1,0,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09 > 11 > 10 > 14 > 13 > 12 > 15 > 16 > 25,24 > 01 > 02 > 03 > 09 > 09 > 09 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 10 > 10 > 10 > 05 > 21 > 07 > 08 > 10 > 10 > 21 > 22 > 10,9.414626598358154,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,26,27,7,1,CaseBasedGenerator,35151,26,27,1111,ImprovementMeasure,1,1,20,,,,,,,,,,,,,,,,
1,CaseBasedGenerator,30,0.9847956895828247,1.854961825161001,0.6456043956043955,0.6615422258897927,1.256678691222417e-13,0.547815203666687,6,1,1,0,24 > 01 > 02 > 03 > 04 > 06 > 05 > 07 > 08 > 09 > 10 > 10 > 10 > 10 > 10 > 10 > 10 > 10 > 22 > 21 > 25,24 > 01 > 02 > 03 > 09 > 09 > 09 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 10 > 10 > 10 > 05 > 21 > 07 > 08 > 10 > 10 > 21 > 22 > 10,9.414626598358154,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,26,27,7,1,CaseBasedGenerator,35151,26,27,1111,ImprovementMeasure,1,1,21,,,,,,,,,,,,,,,,
1,CaseBasedGenerator,29,0.24879904091358185,1.8585842053500714,0.6071428571428572,0.641925442826915,5.0105866665549987e-14,0.609515905380249,13,0,1,0,24 > 01 > 02 > 03 > 20 > 04 > 06 > 05 > 07 > 08 > 09 > 10 > 10 > 11,24 > 01 > 02 > 03 > 09 > 09 > 09 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 10 > 10 > 10 > 05 > 21 > 07 > 08 > 10 > 10 > 21 > 22 > 10,9.414626598358154,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,26,27,7,1,CaseBasedGenerator,35151,26,27,1111,ImprovementMeasure,1,1,22,,,,,,,,,,,,,,,,
