run,iteration,row.num_cycle,row.n_selection,row.n_offspring,row.n_mutated,row.n_candidates,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,2,0,25,100,100,200,25,2,25,37,29,7,0.3911111111111111,1.5552253076235285,1.544454555603238,1.6477184230918858
1,2,1,25,100,100,125,25,3,36,31,26,4,0.49925925925925924,1.5988955088571364,1.590262874416889,1.6477184230918858
1,2,2,25,100,100,125,25,0,31,24,38,7,0.5125925925925926,1.616323895845369,1.612047326156134,1.6477184230918858
1,2,3,25,100,100,125,25,0,33,29,27,11,0.517037037037037,1.62242432285353,1.6182003449795106,1.6477184230918858
1,2,4,25,100,100,125,25,1,31,25,36,7,0.5155555555555555,1.6262656047813804,1.6210614884592776,1.6483103732359219
1,2,5,25,100,100,125,25,2,31,29,28,10,0.514074074074074,1.6304825104158105,1.6268663028702641,1.6483103732359219
1,2,6,25,100,100,125,25,2,24,34,31,9,0.5185185185185185,1.636707721252226,1.6330334777967748,1.6670593703224132
1,2,7,25,100,100,125,25,1,25,33,35,6,0.5244444444444444,1.6437300417279308,1.640437385664721,1.6670593703224132
1,2,8,25,100,100,125,25,0,34,25,31,10,0.5377777777777777,1.6517872231722803,1.6477184230918858,1.6749864929843357
1,2,9,25,100,100,125,25,2,29,29,34,6,0.5451851851851851,1.6599937131034597,1.6573331553656134,1.682522098267889
1,2,10,25,100,100,125,25,0,28,27,33,12,0.5718518518518518,1.6699541141685998,1.6670593703224132,1.6857726220193006
1,2,11,25,100,100,125,25,0,34,29,28,9,0.5866666666666667,1.6807400413045865,1.6812588718138146,1.6940123475068458
1,2,12,25,100,100,125,25,2,33,31,26,8,0.597037037037037,1.6864775623534742,1.6854142757542725,1.6944307645760333
1,2,13,25,100,100,125,25,0,32,31,29,8,0.605925925925926,1.689119586309889,1.6892216927092547,1.6966042566003168
1,2,14,25,100,100,125,25,2,27,43,19,9,0.6237037037037038,1.69247085624052,1.6918921285012234,1.7044143501536428
1,2,15,25,100,100,125,25,0,35,27,31,7,0.6370370370370371,1.6946290123143115,1.6940123475068458,1.7044143501536428
1,2,16,25,100,100,125,25,0,24,31,36,9,0.6474074074074074,1.6987658291300136,1.6961409859252534,1.7247274340412664
1,2,17,25,100,100,125,25,2,34,28,26,10,0.6577777777777779,1.7057135044814178,1.702802837642674,1.7247361363194036
1,2,18,25,100,100,125,25,1,26,34,32,7,0.6814814814814816,1.7182471066819778,1.7176974771508282,1.7391551531247256
1,2,19,25,100,100,125,25,0,24,28,39,9,0.6962962962962962,1.7251823023075394,1.7247274340412664,1.7391551531247256
1,2,20,25,100,100,125,25,1,30,23,36,10,0.6844444444444443,1.7299350426907016,1.7247274340412664,1.7391551531247256
