run,instance.duration_sec,instance.short_name,instance.full_name,instance.no,iteration.mean_num_zeros,iteration.mean_num_zeros_not_adjusted,iteration.mean_sparcity,iteration.mean_similarity,iteration.mean_feasibility,iteration.mean_delta,iteration.mean_viability,iteration.min_sparcity,iteration.min_similarity,iteration.min_feasibility,iteration.min_delta,iteration.min_viability,iteration.max_sparcity,iteration.max_similarity,iteration.max_feasibility,iteration.max_delta,iteration.max_viability,iteration.median_sparcity,iteration.median_similarity,iteration.median_feasibility,iteration.median_delta,iteration.median_viability,iteration.mean_pred_outcome,iteration.target_outcome,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.operators.vocab_len,row.operators.sample_size,row.operators.evo.num_survivors,row.operators.initiator.type,row.operators.selector.type,row.operators.crosser.type,row.operators.crosser.crossover_rate,row.operators.mutator.type,row.operators.mutator.edit_rate,row.operators.mutator.p_delete,row.operators.mutator.p_insert,row.operators.mutator.p_change,row.operators.recombiner.type,row.operators.recombiner.recombination_rate,row.avg_outcome
1,439.22972869873047,ES_EGW_SBI_ES_UC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_UniformCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.3520077972709551,0.35200779727095516,0.5024358974358974,0.6259691079560374,0.030113266592518804,0.9725504127301667,2.1310686847146205,0.31868131868131877,0.4975219630623544,0.0,0.07684779167175293,1.0909196758934807,0.6108058608058607,0.7076922770868412,0.27823131101373544,0.9988428950309753,2.510646279954437,0.4977106227106227,0.6233543149044048,0.0,0.9988345503807068,2.126620122928113,0.03684210526315789,0.0,1,1,1,500,200,400,400,950,0.3171728971962617,0.43136682242990654,0.2514602803738318,35,200,1000,SamplingBasedInitiator,ElitismSelector,UniformCrosser,0.2,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,0.0
1,439.22972869873047,ES_EGW_SBI_ES_UC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_UniformCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.3887407407407408,0.3887407407407407,0.5401410256410256,0.6517944949221639,0.05458576756186449,0.9986712758541108,2.245192563979165,0.4652014652014652,0.5947033341830736,0.0,0.9633979201316833,2.1260740418110142,0.5998168498168498,0.6967012381642602,0.27823131101373544,0.9988425374031067,2.510646279954437,0.5384615384615384,0.6501438164870541,0.04255702960586524,0.9988364577293396,2.225272656366831,0.0,0.0,2,1,2,950,200,400,400,1000,0.28946600525240734,0.41844178581850017,0.2920922089290925,35,200,1000,SamplingBasedInitiator,ElitismSelector,UniformCrosser,0.2,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,0.0
1,439.22972869873047,ES_EGW_SBI_ES_UC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_UniformCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.41388888888888886,0.41388888888888886,0.5648745421245419,0.6702551550285426,0.08398031745427846,0.9987402324080468,2.31785024701541,0.48809523809523814,0.6315041359686177,0.0,0.995686948299408,2.225272656366831,0.5998168498168498,0.6967012381642602,0.27823131101373544,0.9988420605659485,2.510646279954437,0.5695970695970696,0.6723252434992708,0.06394619155595997,0.99883633852005,2.305528584899349,0.0,0.0,3,1,3,1000,200,400,400,1000,0.2756470221390708,0.39320236981602746,0.33115060804490176,35,200,1000,SamplingBasedInitiator,ElitismSelector,UniformCrosser,0.2,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,0.0
1,439.22972869873047,ES_EGW_SBI_ES_UC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_UniformCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.48385185185185187,0.48385185185185187,0.5711794871794871,0.6759202034393845,0.13143516230479435,0.9988364644050598,2.3773713173287256,0.5228937728937728,0.6382013152494013,0.041415081681081455,0.9988295435905457,2.305528584899349,0.5998168498168498,0.6967012381642602,0.27823131101373544,0.9988419413566589,2.510646279954437,0.576007326007326,0.6804162623704817,0.11108717587308822,0.99883633852005,2.3611849812229186,0.0,0.0,4,1,4,1000,200,400,400,1000,0.258460616951183,0.35938903863432164,0.38215034441449536,35,200,1000,SamplingBasedInitiator,ElitismSelector,UniformCrosser,0.2,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,0.0
1,439.22972869873047,ES_EGW_SBI_ES_UC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_UniformCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.5416296296296296,0.5416296296296297,0.5701538461538461,0.67718287689067,0.17099055737504376,0.9988366966247558,2.4171639770443156,0.5421245421245422,0.6573854929761381,0.07774668444681955,0.9988295435905457,2.3611849812229186,0.5998168498168498,0.6900055179498384,0.27823131101373544,0.9988419413566589,2.510646279954437,0.5695970695970696,0.679860390159676,0.17652859565376952,0.9988362193107605,2.403352185788214,0.0,0.0,5,1,5,1000,200,400,400,1000,0.23682579045257285,0.33663980161190327,0.4265344079355239,35,200,1000,SamplingBasedInitiator,ElitismSelector,UniformCrosser,0.2,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,0.0
1,439.22972869873047,ES_EGW_SBI_ES_UC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_UniformCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.5934814814814814,0.5934814814814815,0.5643223443223443,0.6766145788236951,0.21638912537878494,0.998836154460907,2.4561622029857317,0.5439560439560439,0.6672779092679069,0.15505898355786613,0.9988338351249695,2.403352185788214,0.576007326007326,0.6869723976006232,0.27823131101373544,0.9988401532173157,2.510646279954437,0.5641025641025641,0.6779244932863098,0.23422363503087146,0.9988356232643127,2.466066869101608,0.0,0.0,6,1,6,1000,200,400,400,1000,0.23919567827130853,0.32653061224489793,0.4342737094837935,35,200,1000,SamplingBasedInitiator,ElitismSelector,UniformCrosser,0.2,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,0.0
1,439.22972869873047,ES_EGW_SBI_ES_UC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_UniformCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.6124444444444445,0.6124444444444445,0.5661611721611721,0.6787804483664227,0.24979291424491623,0.9988346009254455,2.493569135697957,0.5613553113553114,0.669478569713168,0.21027421960239648,0.9988338351249695,2.466066869101608,0.576007326007326,0.6869723976006232,0.27823131101373544,0.9988356232643127,2.510646279954437,0.5641025641025641,0.6779244932863098,0.2574679151767452,0.9988341927528381,2.5046304725366104,0.0,0.0,7,1,7,1000,200,400,400,1000,0.22566510172143975,0.34178403755868547,0.4325508607198748,35,200,1000,SamplingBasedInitiator,ElitismSelector,UniformCrosser,0.2,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,0.0
1,439.22972869873047,ES_EGW_SBI_ES_UC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_UniformCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.6296296296296297,0.6296296296296297,0.5627619047619046,0.6780155577222461,0.2680987738452842,0.9988343296051025,2.5077105659345373,0.5613553113553114,0.669478569713168,0.2574679151767452,0.9988338351249695,2.5046304725366104,0.5641025641025641,0.6869723976006232,0.27823131101373544,0.9988348484039307,2.510646279954437,0.5641025641025641,0.669478569713168,0.27823131101373544,0.9988338351249695,2.510646279954437,0.0,0.0,8,1,8,1000,200,400,400,1000,0.22348711803475135,0.3376273217495506,0.438885560215698,35,200,1000,SamplingBasedInitiator,ElitismSelector,UniformCrosser,0.2,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,0.0
1,439.22972869873047,ES_EGW_SBI_ES_UC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_UniformCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.6296296296296297,0.6296296296296297,0.564102564102564,0.6694785697131679,0.2782313110137355,0.9988338351249695,2.5106462799544365,0.5641025641025641,0.669478569713168,0.27823131101373544,0.9988338351249695,2.510646279954437,0.5641025641025641,0.669478569713168,0.27823131101373544,0.9988338351249695,2.510646279954437,0.5641025641025641,0.669478569713168,0.27823131101373544,0.9988338351249695,2.510646279954437,0.0,0.0,9,1,9,1000,200,400,400,1000,0.2380225816295392,0.3256026853829722,0.4363747329874886,35,200,1000,SamplingBasedInitiator,ElitismSelector,UniformCrosser,0.2,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,0.0
1,439.22972869873047,ES_EGW_SBI_ES_UC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_UniformCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.6296296296296297,0.6296296296296297,0.564102564102564,0.6694785697131679,0.2782313110137355,0.9988338351249695,2.5106462799544365,0.5641025641025641,0.669478569713168,0.27823131101373544,0.9988338351249695,2.510646279954437,0.5641025641025641,0.669478569713168,0.27823131101373544,0.9988338351249695,2.510646279954437,0.5641025641025641,0.669478569713168,0.27823131101373544,0.9988338351249695,2.510646279954437,0.0,0.0,10,1,10,1000,200,400,400,1000,0.21812181218121812,0.3384338433843384,0.44344434443444347,35,200,1000,SamplingBasedInitiator,ElitismSelector,UniformCrosser,0.2,SamplingBasedMutator,0.1,0.14,0.21,0.23,FittestSurvivorRecombiner,,0.0
