run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,1,0,100,100,200,200,206,3,58,57,58,24,0.24847177274361737,1.6528409093269545,1.5953145324472255,2.2881682672720447,1.2801845870626818
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,2,1,206,206,200,200,303,1,51,69,56,23,0.2511917858452512,1.601552471238653,1.5556170499475321,2.2881682672720447,1.2177080763267871
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,3,2,303,303,200,200,428,2,60,47,65,26,0.25095188646590516,1.577035740609753,1.5240642224559315,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,4,3,428,428,200,200,534,4,67,46,66,17,0.2493411014010265,1.561045272318931,1.508717991630073,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,5,4,534,500,200,200,633,3,65,48,64,20,0.24708911122813174,1.555632682528022,1.4992471097164581,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,6,5,633,500,200,200,740,3,58,56,64,19,0.24874874874874875,1.5547988858807675,1.4937296311633246,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,7,6,740,500,200,200,843,3,56,61,55,25,0.252053951935328,1.5520095660189392,1.4921431091232868,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,8,7,843,500,200,200,941,0,62,55,65,18,0.2530798598811351,1.5533134349529565,1.4925632928145893,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,9,8,941,500,200,200,1055,1,61,58,59,21,0.2542741793926628,1.5545588237902814,1.4934370255824303,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,10,9,1055,500,200,200,1147,4,63,59,62,12,0.25431883496399627,1.5584944224718662,1.497494000176749,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,11,10,1147,500,200,200,1263,3,61,63,54,19,0.2571185595730331,1.5647748752856374,1.499877400377641,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,12,11,1263,500,200,200,1356,0,58,66,57,19,0.25931388615754397,1.5694786108740124,1.501556932365737,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,13,12,1356,500,200,200,1453,4,61,66,55,14,0.2599474905049578,1.5789833821077748,1.5047556295042956,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,14,13,1453,500,200,200,1544,1,51,60,67,21,0.2620658222989829,1.5826443356546092,1.5066700787113276,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,15,14,1544,500,200,200,1631,4,69,52,58,17,0.2631423575629584,1.5955872482971145,1.5112534767783958,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,16,15,1631,500,200,200,1733,0,54,66,68,12,0.26496548481545595,1.6023580012316672,1.5155177696018942,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,17,16,1733,500,200,200,1836,3,57,66,54,20,0.2651093359154361,1.6128203802906904,1.5203901595265377,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,18,17,1836,500,200,200,1934,1,56,59,63,21,0.26578957447623425,1.6221646270998875,1.524698254697667,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,19,18,1934,500,200,200,2046,0,68,75,43,14,0.2640382317801672,1.6361313999557605,1.5331235371389558,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,20,19,2046,500,200,200,2144,1,65,62,57,15,0.2631115257048093,1.6473609176609014,1.5402954753669893,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,21,20,2144,500,200,200,2252,1,62,63,60,14,0.26202223537925134,1.6599610746709703,1.546511839640141,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,22,21,2252,500,200,200,2344,0,53,66,66,15,0.26155037289849575,1.6708505745898061,1.5525678419378643,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,23,22,2344,500,200,200,2433,4,71,53,53,19,0.2607815378057877,1.6813154154070966,1.5622735842023996,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,24,23,2433,500,200,200,2539,2,58,61,58,21,0.2615202835762111,1.6927664026595202,1.571879652852798,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,25,24,2539,500,200,200,2634,2,73,48,58,19,0.2613684299333502,1.7029438775274413,1.5827850051417403,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,26,25,2634,500,200,200,2734,1,61,56,62,20,0.261724782573356,1.712860094509862,1.5925950816464498,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,27,26,2734,500,200,200,2836,2,63,62,56,17,0.2622629681868046,1.7222511512515841,1.6077180604708543,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,28,27,2836,500,200,200,2941,2,58,66,58,16,0.2627350233606609,1.7328043997687261,1.6301181149806698,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,29,28,2941,500,200,200,3034,4,60,65,54,17,0.26394687370297126,1.7399625633648959,1.6483918457603646,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,30,29,3034,500,200,200,3135,0,65,59,56,20,0.26458739441195583,1.7483791103662965,1.6841831650407442,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,31,30,3135,500,200,200,3243,2,54,66,60,18,0.26607736320964814,1.7567053978127252,1.757391149041987,2.2881682672720447,1.1826098733577604
1,DataDistributionSampleInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.687533,103.68753337860107,1,32,31,3243,500,200,200,3340,1,60,62,58,19,0.2674650698602794,1.7643358099434328,1.852207497198556,2.2881682672720447,1.1826098733577604
