run,instance.duration,instance.duration_s,instance.no,iteration.n_results,iteration.avg_viability,iteration.median_viability,iteration.max_viability,iteration.min_viability,iteration.no,row.no,row.factual_outcome,row.target_outcome,row.predicted_outcome,row.prediction_score,row.similarity,row.sparcity,row.dllh,row.delta,row.viability,row.events
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,1,False,True,True,0.9656009674072266,0.5437500945707459,0.2701465201465201,0.0,0.9768764972686768,1.7907731119859427,[ 4. 12. 15. 21.  2. 34. 16. 32. 29. 18. 26.  1. 33. 16.  0.  2. 18. 33.  6.  1. 13. 19.  9.  6. 26. 16.  6.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,2,False,True,True,0.994629442691803,0.5424587192591683,0.2728937728937729,0.0,0.9962288737297058,1.8115813658826472,[ 3. 33. 33. 32. 10.  9. 14. 34. 28. 18. 26.  7. 15.  7. 12. 19. 23. 13. 30. 34. 11. 23. 25. 14.  6.  4. 29.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,3,False,True,False,0.15411296486854553,0.5240049072351314,0.24633699633699624,0.0,0.4358845055103302,1.2062264090824577,[34. 21. 20.  8. 27.  4. 15. 32.  8. 21. 26. 31. 16. 31.  7.  4.  8. 13.  5. 19. 13. 25. 12.  7. 28. 27. 14.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,4,False,True,True,0.9946706891059875,0.5605312612825795,0.27564102564102577,0.0,0.9962563514709473,1.8324286383945525,[ 3. 34. 28. 21.  2. 34. 33. 21. 34. 18. 26. 18.  9.  3. 21. 20.  1. 33.  6.  1.  1. 15. 21. 25. 10.  4. 29.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,5,False,True,True,0.9946162104606628,0.5739494519678963,0.3351648351648352,0.0,0.9962199330329895,1.905334220165721,[14. 13.  0. 33.  1.  9.  9. 34.  2. 27. 20.  3.  6.  8.  6. 24. 28. 14. 11.  3.  6. 30. 21. 25.  5. 17. 29.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,6,False,True,True,0.9940179586410522,0.5288269344861372,0.1996336996336996,0.0,0.9958211779594421,1.7242818120792789,[34. 21. 20. 12. 27.  4. 15. 32.  8. 21. 26. 31. 29. 31. 30.  4.  8.  9.  5. 19. 13. 25. 12.  7. 28. 27. 14.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,7,False,True,True,0.9947053790092468,0.5250488124209779,0.23076923076923084,0.0,0.9962794184684753,1.7520974616586842,[14. 13. 16. 28. 17.  7. 34. 28. 20. 21.  8.  9. 15. 15. 16. 10.  3. 32.  1. 26.  7.  7. 14. 12. 27. 13. 29.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,8,False,True,True,0.9965632557868958,0.5423899530304404,0.2289377289377289,0.0,0.9975180625915527,1.768845744559722,[ 3. 34.  3. 32.  1.  9. 14. 28. 34. 18. 26.  7. 10. 10. 29. 33.  5. 13. 10. 10.  7. 30. 24. 26.  6. 29.  0.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,9,False,True,True,0.9948073029518127,0.5442714443999004,0.2509157509157509,0.0,0.9963474273681641,1.7915346226838154,[14.  1. 33. 34. 27. 29. 16. 11. 28.  5. 25. 26. 33.  4. 13. 10.  9. 14. 24. 18.  1. 21.  8. 27. 19.  4. 29.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,10,False,True,True,0.9266016483306885,0.5540167351527814,0.30402930402930406,0.0,0.9508769512176514,1.8089229903997368,[ 7.  6. 33.  3. 12. 17. 31. 30.  4. 33. 20.  5. 31. 17. 24.  5. 15.  5.  9. 12. 15. 24. 31. 12. 32.  0.  8.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,11,False,True,True,0.9970910549163818,0.5427579800928983,0.23351648351648346,0.0,0.9978699088096619,1.7741443724190438,[19. 10. 33. 32.  1.  9. 14. 28.  8. 34.  4. 20. 21.  6.  3. 20.  1. 33. 11.  3. 30.  0. 23. 27. 28. 27. 29.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,12,False,True,True,0.9948057532310486,0.5254278613471127,0.21611721611721602,0.0,0.9963462948799133,1.737891372344242,[14. 27.  9.  3. 19. 13.  4.  0.  8.  8. 24. 32. 12. 34. 18. 15. 28. 32.  1. 18.  1. 21.  8. 27. 19.  4. 29.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,13,False,True,True,0.994017481803894,0.5388760675624903,0.20970695970695974,0.0,0.9958208203315735,1.7444038476010235,[34. 21. 20. 12. 27.  4. 15. 32.  8. 21. 26. 31. 29. 31. 30.  4.  1. 33. 11. 34.  3. 30. 19.  7. 28. 27. 14.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,14,False,True,True,0.994631290435791,0.5655007478013369,0.2765567765567766,0.0,0.9962300658226013,1.8382875901807147,[29. 12.  0.  1. 12. 29. 16. 26. 25. 22. 31. 29.  7. 27. 11. 20. 13. 33. 34. 27. 31. 12.  9. 15. 25. 14. 27.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,15,False,True,True,0.9956306219100952,0.5374026152597866,0.2225274725274724,0.0,0.9968962669372559,1.7568263547245149,[18.  9.  0. 28.  3. 34. 33. 13. 22. 33. 20.  5. 31. 16. 24. 15.  5.  9. 24. 12. 15. 24. 21. 25. 33. 17. 29.]
1,0:01:55.232645,115.23264503479004,1,5111,1.622542753373239,1.7450116950970114,2.0255510319279972,0.9594492081037957,1,16,False,True,True,0.9968999624252319,0.5576616397124876,0.2728937728937729,0.0,0.9977424740791321,1.8282978866853927,[33. 13.  0.  3. 28. 14. 34. 28. 34. 25. 21. 18.  8. 16.  6. 24.  3. 21.  1. 15. 11. 24. 23. 25. 29.  0. 29.]
