run,instance.duration_sec,instance.short_name,instance.full_name,instance.no,iteration.mean_num_zeros,iteration.mean_num_zeros_not_adjusted,iteration.mean_sparcity,iteration.mean_similarity,iteration.mean_feasibility,iteration.mean_delta,iteration.mean_viability,iteration.min_sparcity,iteration.min_similarity,iteration.min_feasibility,iteration.min_delta,iteration.min_viability,iteration.max_sparcity,iteration.max_similarity,iteration.max_feasibility,iteration.max_delta,iteration.max_viability,iteration.median_sparcity,iteration.median_similarity,iteration.median_feasibility,iteration.median_delta,iteration.median_viability,iteration.no,row.no,row.quick_fix
1,1.9961719512939453,RG_RGW_IM,RandomGenerator_RandomGeneratorWrapper_ImprovementMeasure,1,0.05796296296296296,0.057962962962962966,0.40961538461538466,0.5245168495392505,0.0,0.372718652933836,1.306850887088471,0.3653846153846154,0.4907765838163448,0.0,0.3164424002170563,1.1828616183885061,0.46153846153846156,0.5695908433262871,0.0,0.6322792768478394,1.5824229761548851,0.40384615384615385,0.5223514712333093,0.0,0.3398812711238861,1.2913828284294295,1,1,True
1,2.023587942123413,RG_RGW_IM,RandomGenerator_RandomGeneratorWrapper_ImprovementMeasure,2,0.05277777777777778,0.05277777777777778,0.3727884615384615,0.4642629255417191,0.0,0.3688274385035038,1.2058788255836845,0.32692307692307687,0.4223540402555509,0.0,0.3214624226093292,1.0824151062228173,0.4423076923076923,0.5150596685487223,0.0,0.6357240080833435,1.4643442767252788,0.3653846153846154,0.46268757446376096,0.0,0.33595937490463257,1.1911923770218187,1,1,True
1,2.242050886154175,RG_RGW_IM,RandomGenerator_RandomGeneratorWrapper_ImprovementMeasure,3,0.056111111111111105,0.05611111111111111,0.32634615384615384,0.41906055294190603,0.0,0.37300724655389783,1.1184139533419577,0.2692307692307693,0.3753885693718647,0.0,0.3134429156780243,0.9901572097249942,0.3846153846153846,0.4682171505329805,0.0,0.6090192198753357,1.4484526568824927,0.32692307692307687,0.41911409847467634,0.0,0.3415622115135193,1.1030851409390472,1,1,True
1,1.7214584350585938,RG_RGW_IM,RandomGenerator_RandomGeneratorWrapper_ImprovementMeasure,4,0.054444444444444434,0.05444444444444444,0.2999038461538461,0.38366802028774133,0.0,0.3705632723867893,1.0541351388283768,0.25,0.34956460292297786,0.0,0.3186423182487488,0.9470601018287388,0.3846153846153846,0.43224853071245783,0.0,0.6574177742004395,1.3272214537706666,0.3076923076923077,0.3813661837412446,0.0,0.3385492265224457,1.0381691291646824,1,1,True
1,1.7128899097442627,RG_RGW_IM,RandomGenerator_RandomGeneratorWrapper_ImprovementMeasure,5,0.05407407407407407,0.05407407407407407,0.33480769230769225,0.4641237006718846,0.0,0.3670679531991482,1.165999346178725,0.2692307692307693,0.42369880491488476,0.0,0.3146187365055084,1.0456899051344646,0.40384615384615385,0.5152835360062309,0.0,0.6381633877754211,1.4453634852166544,0.32692307692307687,0.4638059983847323,0.0,0.34044042229652405,1.155040233599158,1,1,True
1,1.9689686298370361,RG_RGW_IM,RandomGenerator_RandomGeneratorWrapper_ImprovementMeasure,6,0.056666666666666664,0.056666666666666664,0.3200961538461538,0.4181522589200524,0.0,0.3699467097222805,1.108195122488487,0.2692307692307693,0.37473764763418627,0.0,0.3209626376628876,0.9809983805967213,0.40384615384615385,0.48724002950597056,0.0,0.706580638885498,1.4019799299122628,0.32692307692307687,0.41594116202736936,0.0,0.3407835066318512,1.0941888003723539,1,1,True
1,1.5869698524475098,RG_RGW_IM,RandomGenerator_RandomGeneratorWrapper_ImprovementMeasure,7,0.05481481481481481,0.054814814814814816,0.3392307692307692,0.42872017443248894,0.0,0.36468507096171376,1.1326360146249719,0.28846153846153844,0.3889232789269358,0.0,0.3121018707752228,1.0101225974471366,0.42307692307692313,0.4839232336081817,0.0,0.6355540156364441,1.3818683201968347,0.34615384615384615,0.42782416676457596,0.0,0.34069687128067017,1.1175586500765098,1,1,True
1,1.5600013732910156,RG_RGW_IM,RandomGenerator_RandomGeneratorWrapper_ImprovementMeasure,8,0.05555555555555555,0.05555555555555555,0.3195192307692307,0.40148245530583354,0.0,0.3720121258497238,1.093013811924788,0.2692307692307693,0.36513451540196684,0.0,0.3178269863128662,0.9757267085091721,0.3846153846153846,0.45487717431993113,0.0,0.6618945598602295,1.430007105812839,0.32692307692307687,0.3986123793509652,0.0,0.3389287441968918,1.0765554924873872,1,1,True
1,1.6940674781799316,RG_RGW_IM,RandomGenerator_RandomGeneratorWrapper_ImprovementMeasure,9,0.05703703703703704,0.05703703703703704,0.41432692307692315,0.5174012151619971,0.0,0.3694357670843601,1.3011639053232802,0.3653846153846154,0.48071380016816323,0.0,0.3219939172267914,1.1850068196646408,0.46153846153846156,0.5671584851754821,0.0,0.6411528587341309,1.5594144426850232,0.42307692307692313,0.5169075919879428,0.0,0.33836767077445984,1.2893815496626693,1,1,True
1,1.9104421138763428,RG_RGW_IM,RandomGenerator_RandomGeneratorWrapper_ImprovementMeasure,10,0.05537037037037036,0.05537037037037037,0.32432692307692307,0.4108692728535802,0.0,0.36902665615081787,1.1042228520813213,0.2692307692307693,0.3559762685293467,0.0,0.3173372745513916,0.9624160307091836,0.3846153846153846,0.46481622598513184,0.0,0.6849656701087952,1.444618025801358,0.32692307692307687,0.4105548245279234,0.0,0.34087716042995453,1.0874661530422836,1,1,True
