run,instance.duration,instance.duration_s,instance.no,iteration.mean_num_zeros,iteration.mean_num_zeros_not_adjusted,iteration.mean_sparcity,iteration.mean_similarity,iteration.mean_feasibility,iteration.mean_delta,iteration.mean_viability,iteration.min_sparcity,iteration.min_similarity,iteration.min_feasibility,iteration.min_delta,iteration.min_viability,iteration.max_sparcity,iteration.max_similarity,iteration.max_feasibility,iteration.max_delta,iteration.max_viability,iteration.median_sparcity,iteration.median_similarity,iteration.median_feasibility,iteration.median_delta,iteration.median_viability,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE
1,0:01:11.038051,71.03805088996887,1,0.09465020576131687,0.09465020576131687,0.8067765567765569,0.8507148187142771,0.005054062074063733,0.3335568441285027,1.9961022816934002,0.4725274725274725,0.5744500628533926,0.0,0.33333295583724976,1.3823117171664485,0.9807692307692307,0.9807692307692307,0.02274327933328727,0.3353341817855835,2.31761508413919,0.8461538461538461,0.88343456655962,0.0,0.3333333432674408,2.062921994399486,1,1,1,3,3,6,6,9,0.021604938271604937,0.009259259259259259,0.0,0.030864197530864196,0.9382716049382716
1,0:01:11.038051,71.03805088996887,1,0.11385459533607684,0.11385459533607682,0.7850020350020349,0.8348490790010188,0.003285676514171814,0.34238728880882263,1.9655240793260484,0.4725274725274725,0.5744500628533926,0.0,0.33333295583724976,1.3823117171664485,0.9807692307692307,0.9817441622733496,0.02274327933328727,0.573734700679779,2.318590015643307,0.8223443223443223,0.870740904165774,0.0,0.3333333432674408,2.050157812076813,2,1,2,9,9,18,18,27,0.00720164609053498,0.00360082304526749,0.0,0.0030864197530864196,0.9861111111111112
1,0:01:11.038051,71.03805088996887,1,0.1476909007773205,0.14769090077732053,0.7218830552163886,0.8154112801217269,0.0013760067310608019,0.3477468023329605,1.8864171444021367,0.37454212454212454,0.5744500628533926,0.0,0.333330363035202,1.321266472355339,0.9807692307692307,0.9851435618604204,0.02274327933328727,0.9981721043586731,2.321989415230378,0.75,0.8414829937815566,0.0,0.33333340287208557,1.9305230239381383,3,1,3,27,27,54,54,81,0.013545953360768175,0.00977366255144033,0.0013717421124828531,0.010631001371742112,0.9646776406035665
1,0:01:11.038051,71.03805088996887,1,0.17314433775339125,0.17314433775339125,0.6665611480426294,0.7860430663136498,0.0005484702893710987,0.3443793156510027,1.797532000296653,0.36996336996337,0.5744500628533926,0.0,0.333330363035202,1.3017168832523185,0.9807692307692307,0.9851435618604204,0.02274327933328727,0.9981721043586731,2.321989415230378,0.695054945054945,0.8041612414895251,0.0,0.3333348333835602,1.8534325403743235,4,1,4,81,81,162,162,243,0.010688157293095565,0.010002286236854138,0.001828989483310471,0.013946044810242341,0.9635345221764975
1,0:01:11.038051,71.03805088996887,1,0.19212440431402059,0.19212440431402056,0.6836214951339105,0.7859233064110019,0.0003008539059078487,0.34944153787320137,1.8192871933240216,0.34523809523809523,0.5359611428382745,0.0,0.3333296477794647,1.2146008286620784,0.9807692307692307,0.9851435618604204,0.02274327933328727,0.9981721043586731,2.475599891965014,0.7261904761904762,0.8115711834340422,0.0,0.33333656191825867,1.8915279094804522,5,1,5,243,100,200,200,443,0.013796296296296296,0.009259259259259259,0.0021296296296296298,0.012638888888888889,0.9621759259259259
1,0:01:11.038051,71.03805088996887,1,0.20666666666666667,0.20666666666666667,0.7578150183150183,0.83571061575713,0.0004030162366340697,0.36385290551185606,1.9577815558206386,0.39560439560439564,0.556699397867775,0.0,0.333330363035202,1.5740694849780874,0.9807692307692307,0.9851435618604204,0.02274327933328727,0.9981721043586731,2.580078073112472,0.7692307692307692,0.8479910281069447,0.0,0.3333354592323303,1.9709785167119054,6,1,6,443,100,200,200,500,0.012638888888888889,0.00962962962962963,0.0017592592592592592,0.011481481481481481,0.9644907407407407
1,0:01:11.038051,71.03805088996887,1,0.1827407407407407,0.18274074074074073,0.8107454212454213,0.8707829077858601,0.0005804427683993443,0.3876380478143692,2.06974681961405,0.3983516483516484,0.556699397867775,0.0,0.3333326578140259,1.8798797022910116,0.9807692307692307,0.9851435618604204,0.02274327933328727,0.99884033203125,2.8004947308411268,0.8223443223443223,0.878261583057407,0.0,0.3333345651626587,2.058527436377448,7,1,7,500,100,200,200,500,0.00949074074074074,0.012638888888888889,0.0017592592592592592,0.010092592592592592,0.9660185185185185
1,0:01:11.038051,71.03805088996887,1,0.15311111111111111,0.15311111111111111,0.829613553113553,0.8820513108537873,0.0008488424174977629,0.43972813594341276,2.1522418423282508,0.40476190476190477,0.5949992770166894,0.0,0.33333268761634827,1.9813841770788243,0.9807692307692307,0.9851435618604204,0.02274327933328727,0.99884033203125,2.8081332019508607,0.8461538461538461,0.895902582084126,0.0,0.33333657681941986,2.1164986649769237,8,1,8,500,100,200,200,500,0.013055555555555556,0.007453703703703704,0.0012962962962962963,0.012453703703703703,0.9657407407407408
1,0:01:11.038051,71.03805088996887,1,0.1428148148148148,0.1428148148148148,0.8257161172161173,0.8765939883431146,0.0013186229017188834,0.5312060451507569,2.2348347736117073,0.4514652014652014,0.6096802949423468,0.0,0.3333321511745453,2.0601699987825595,0.9807692307692307,0.9851435618604204,0.02274327933328727,0.99884033203125,2.9623471862898856,0.8653846153846154,0.9058788096232455,0.0,0.3333441913127899,2.1936515365942704,9,1,9,500,100,200,200,500,0.013055555555555556,0.008981481481481481,0.0010185185185185184,0.015370370370370371,0.961574074074074
1,0:01:11.038051,71.03805088996887,1,0.14103703703703702,0.14103703703703704,0.7918351648351648,0.8529856894594077,0.0013186229017188836,0.7067346311807633,2.352874108377055,0.48992673992673996,0.6466031169136538,0.0,0.3333321511745453,2.134831839862307,0.9807692307692307,0.9851435618604204,0.02274327933328727,0.9987710118293762,2.9623471862898856,0.8076923076923077,0.8643869661763008,0.0,0.9661374092102051,2.319671930152209,10,1,10,500,100,200,200,500,0.010787037037037038,0.006296296296296296,0.0017592592592592592,0.011064814814814816,0.9700925925925926
