,Generator,Factual,Dimension,Property,Model,Value
324,CBG-CBGW-IM,3,Activity,Diversity,D4EL,0.0
325,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Activity,Diversity,D4EL,0.0
326,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Activity,Diversity,D4EL,0.0
327,RG-RGW-IM,3,Activity,Diversity,D4EL,0.0
328,CBG-CBGW-IM,4,Activity,Diversity,D4EL,0.0
329,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Activity,Diversity,D4EL,0.0
330,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Activity,Diversity,D4EL,0.0
331,RG-RGW-IM,4,Activity,Diversity,D4EL,0.0
332,CBG-CBGW-IM,5,Activity,Diversity,D4EL,0.0
333,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Activity,Diversity,D4EL,0.0
334,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Activity,Diversity,D4EL,0.0
335,RG-RGW-IM,5,Activity,Diversity,D4EL,0.0
336,CBG-CBGW-IM,0,Resource,Diversity,CF,0.98
337,ES-EGW-CBI-ES-UC3-SBM-RR-IM,0,Resource,Diversity,CF,0.0
338,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Resource,Diversity,CF,0.0
339,RG-RGW-IM,0,Resource,Diversity,CF,0.0
340,CBG-CBGW-IM,1,Resource,Diversity,CF,0.98
341,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Resource,Diversity,CF,0.6408
342,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Resource,Diversity,CF,0.0
343,RG-RGW-IM,1,Resource,Diversity,CF,0.0
344,CBG-CBGW-IM,2,Resource,Diversity,CF,0.9792000000000001
345,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Resource,Diversity,CF,0.792
346,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Resource,Diversity,CF,0.0
347,RG-RGW-IM,2,Resource,Diversity,CF,0.0
348,CBG-CBGW-IM,3,Resource,Diversity,CF,0.9784
349,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Resource,Diversity,CF,0.9359999999999999
350,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Resource,Diversity,CF,0.0
351,RG-RGW-IM,3,Resource,Diversity,CF,0.0
352,CBG-CBGW-IM,4,Resource,Diversity,CF,0.98
353,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Resource,Diversity,CF,0.42
354,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Resource,Diversity,CF,0.5848
355,RG-RGW-IM,4,Resource,Diversity,CF,0.0
356,CBG-CBGW-IM,5,Resource,Diversity,CF,0.98
357,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Resource,Diversity,CF,0.5544
358,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Resource,Diversity,CF,0.0
359,RG-RGW-IM,5,Resource,Diversity,CF,0.0
360,CBG-CBGW-IM,0,Resource,Diversity,D4EL,0.0
361,ES-EGW-CBI-ES-UC3-SBM-RR-IM,0,Resource,Diversity,D4EL,0.0
362,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Resource,Diversity,D4EL,0.0
363,RG-RGW-IM,0,Resource,Diversity,D4EL,0.0
364,CBG-CBGW-IM,1,Resource,Diversity,D4EL,0.0
365,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Resource,Diversity,D4EL,0.0
366,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Resource,Diversity,D4EL,0.0
367,RG-RGW-IM,1,Resource,Diversity,D4EL,0.0
368,CBG-CBGW-IM,2,Resource,Diversity,D4EL,0.0
369,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Resource,Diversity,D4EL,0.0
370,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Resource,Diversity,D4EL,0.0
371,RG-RGW-IM,2,Resource,Diversity,D4EL,0.0
372,CBG-CBGW-IM,3,Resource,Diversity,D4EL,0.0
373,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Resource,Diversity,D4EL,0.0
374,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Resource,Diversity,D4EL,0.0
375,RG-RGW-IM,3,Resource,Diversity,D4EL,0.0
376,CBG-CBGW-IM,4,Resource,Diversity,D4EL,0.0
377,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Resource,Diversity,D4EL,0.0
378,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Resource,Diversity,D4EL,0.0
379,RG-RGW-IM,4,Resource,Diversity,D4EL,0.0
380,CBG-CBGW-IM,5,Resource,Diversity,D4EL,0.0
381,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Resource,Diversity,D4EL,0.0
382,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Resource,Diversity,D4EL,0.0
383,RG-RGW-IM,5,Resource,Diversity,D4EL,0.0
