,Generator,Factual,Dimension,Property,Model,Value
76,ES-EGW-CBI-ES-UC3-SBM-RR-IM,0,Activity,Sparsity,CF,4.242640687119285
77,ES-EGW-CBI-ES-UC3-SBM-RR-IM,0,Activity,Sparsity,D4EL,4.242640687119285
78,ES-EGW-CBI-ES-UC3-SBM-RR-IM,0,Resource,Plausibility,CF,1.0
79,ES-EGW-CBI-ES-UC3-SBM-RR-IM,0,Resource,Plausibility,D4EL,1.0
80,ES-EGW-CBI-ES-UC3-SBM-RR-IM,0,Resource,Proximity,CF,6.0
81,ES-EGW-CBI-ES-UC3-SBM-RR-IM,0,Resource,Proximity,D4EL,13.0
82,ES-EGW-CBI-ES-UC3-SBM-RR-IM,0,Resource,Sparsity,CF,13.0
83,ES-EGW-CBI-ES-UC3-SBM-RR-IM,0,Resource,Sparsity,D4EL,16.0
84,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Activity,Plausibility,CF,1.0
85,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Activity,Plausibility,D4EL,0.0
86,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Activity,Proximity,CF,3.872983346207417
87,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Activity,Proximity,D4EL,3.7416573867739413
88,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Activity,Sparsity,CF,3.1931470862057836
89,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Activity,Sparsity,D4EL,3.3166247903554
90,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Resource,Plausibility,CF,1.0
91,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Resource,Plausibility,D4EL,0.0
92,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Resource,Proximity,CF,2.0
93,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Resource,Proximity,D4EL,5.0
94,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Resource,Sparsity,CF,7.2
95,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Resource,Sparsity,D4EL,11.0
96,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Activity,Plausibility,CF,1.0
97,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Activity,Plausibility,D4EL,0.0
98,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Activity,Proximity,CF,3.7416573867739413
99,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Activity,Proximity,D4EL,3.7416573867739413
100,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Activity,Sparsity,CF,3.021417542311613
101,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Activity,Sparsity,D4EL,3.7416573867739413
102,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Resource,Plausibility,CF,1.0
