experiment,model_name,rank,likelihood,outcome,viability,sparcity,similarity,dllh,ollh,source_outcome,target_outcome,cf,fa,run.mask,run.duration,run.duration_sec,run.short_name,run.full_name,run.no,wrapper.type,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,gen.max_iter,gen.num_survivors,gen.sample_size,gen.evo.num_survivors,gen.initiator.type,gen.selector.type,gen.crosser.type,gen.crosser.crossover_rate,gen.mutator.type,gen.mutator.p_delete,gen.mutator.p_insert,gen.mutator.p_change,gen.mutator.p_transp,gen.mutator.p_none,gen.recombiner.type,gen.recombiner.recombination_rate,viab.data_distribution,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.no,iteration.no,row.no
1,EvolutionaryStrategy,40,0.9992478489875793,1,1.480866733600493,0.42307692307692313,0.5581010361762645,0.0,0.4996887743473053,0,1,23 > 31 > 00 > 00 > 00 > 03 > 02 > 00 > 07 > 03 > 32 > 00 > 18 > 00 > 21 > 00 > 09 > 11 > 10 > 00 > 18 > 00 > 29 > 24 > 25 > 17 > 29,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14,1111,0:00:00.041000,0.0410003662109375,EGW_ES_EGW_DI_RWS_OPC_DM_FIR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DefaultInitiator_RouletteWheelSelector_OnePointCrosser_DefaultMutator_FittestIndividualRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,34,27,21,1,EvolutionaryStrategy,50,500,100,500,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,,DefaultMutator,0.01,0.3,0.3,0.3,0.09000000000000008,FittestIndividualRecombiner,,486,34,27,1111,ImprovementMeasure,1,1,11
1,EvolutionaryStrategy,39,0.998865008354187,1,1.4809338084110413,0.42307692307692313,0.558359531303509,0.0,0.49949735403060913,0,1,12 > 00 > 00 > 21 > 00 > 31 > 02 > 13 > 00 > 02 > 05 > 00 > 28 > 05 > 06 > 07 > 09 > 11 > 10 > 03 > 13 > 12 > 00 > 13 > 14 > 24 > 28,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14,1111,0:00:00.041000,0.0410003662109375,EGW_ES_EGW_DI_RWS_OPC_DM_FIR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DefaultInitiator_RouletteWheelSelector_OnePointCrosser_DefaultMutator_FittestIndividualRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,34,27,21,1,EvolutionaryStrategy,50,500,100,500,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,,DefaultMutator,0.01,0.3,0.3,0.3,0.09000000000000008,FittestIndividualRecombiner,,486,34,27,1111,ImprovementMeasure,1,1,12
1,EvolutionaryStrategy,38,0.9992818236351013,1,1.4814002128580595,0.42307692307692313,0.55861752811007,0.0,0.4997057616710663,0,1,16 > 00 > 00 > 00 > 00 > 02 > 02 > 01 > 05 > 00 > 00 > 28 > 22 > 08 > 02 > 06 > 22 > 11 > 10 > 13 > 00 > 23 > 00 > 00 > 16 > 25 > 28,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14,1111,0:00:00.041000,0.0410003662109375,EGW_ES_EGW_DI_RWS_OPC_DM_FIR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DefaultInitiator_RouletteWheelSelector_OnePointCrosser_DefaultMutator_FittestIndividualRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,34,27,21,1,EvolutionaryStrategy,50,500,100,500,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,,DefaultMutator,0.01,0.3,0.3,0.3,0.09000000000000008,FittestIndividualRecombiner,,486,34,27,1111,ImprovementMeasure,1,1,13
1,EvolutionaryStrategy,37,0.9992833733558655,1,1.4814009877184415,0.42307692307692313,0.55861752811007,0.0,0.49970653653144836,0,1,16 > 00 > 00 > 00 > 00 > 02 > 02 > 01 > 00 > 05 > 00 > 28 > 08 > 22 > 06 > 02 > 22 > 11 > 10 > 13 > 00 > 23 > 00 > 00 > 16 > 25 > 28,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14,1111,0:00:00.041000,0.0410003662109375,EGW_ES_EGW_DI_RWS_OPC_DM_FIR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DefaultInitiator_RouletteWheelSelector_OnePointCrosser_DefaultMutator_FittestIndividualRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,34,27,21,1,EvolutionaryStrategy,50,500,100,500,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,,DefaultMutator,0.01,0.3,0.3,0.3,0.09000000000000008,FittestIndividualRecombiner,,486,34,27,1111,ImprovementMeasure,1,1,14
1,EvolutionaryStrategy,36,0.9970589876174927,1,1.4814878055036211,0.42307692307692313,0.559816538764436,0.0,0.49859434366226196,0,1,23 > 31 > 31 > 21 > 00 > 29 > 29 > 00 > 00 > 33 > 00 > 02 > 31 > 20 > 00 > 07 > 08 > 09 > 10 > 00 > 12 > 00 > 00 > 24 > 25 > 10 > 28,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14,1111,0:00:00.041000,0.0410003662109375,EGW_ES_EGW_DI_RWS_OPC_DM_FIR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DefaultInitiator_RouletteWheelSelector_OnePointCrosser_DefaultMutator_FittestIndividualRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,34,27,21,1,EvolutionaryStrategy,50,500,100,500,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,,DefaultMutator,0.01,0.3,0.3,0.3,0.09000000000000008,FittestIndividualRecombiner,,486,34,27,1111,ImprovementMeasure,1,1,15
1,EvolutionaryStrategy,35,0.99922776222229,1,1.4826805828824745,0.42307692307692313,0.5599249288408907,0.0,0.49967873096466064,0,1,12 > 00 > 27 > 00 > 02 > 31 > 00 > 00 > 01 > 00 > 00 > 32 > 31 > 00 > 04 > 00 > 09 > 11 > 10 > 13 > 23 > 25 > 00 > 05 > 00 > 25 > 28,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14,1111,0:00:00.041000,0.0410003662109375,EGW_ES_EGW_DI_RWS_OPC_DM_FIR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DefaultInitiator_RouletteWheelSelector_OnePointCrosser_DefaultMutator_FittestIndividualRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,34,27,21,1,EvolutionaryStrategy,50,500,100,500,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,,DefaultMutator,0.01,0.3,0.3,0.3,0.09000000000000008,FittestIndividualRecombiner,,486,34,27,1111,ImprovementMeasure,1,1,16
1,EvolutionaryStrategy,34,0.9991875290870667,1,1.4843511857785905,0.42307692307692313,0.5616156483046184,0.0,0.49965861439704895,0,1,31 > 23 > 00 > 00 > 00 > 02 > 00 > 00 > 01 > 00 > 26 > 16 > 22 > 00 > 00 > 06 > 00 > 11 > 10 > 00 > 18 > 23 > 00 > 00 > 15 > 25 > 29,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14,1111,0:00:00.041000,0.0410003662109375,EGW_ES_EGW_DI_RWS_OPC_DM_FIR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DefaultInitiator_RouletteWheelSelector_OnePointCrosser_DefaultMutator_FittestIndividualRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,34,27,21,1,EvolutionaryStrategy,50,500,100,500,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,,DefaultMutator,0.01,0.3,0.3,0.3,0.09000000000000008,FittestIndividualRecombiner,,486,34,27,1111,ImprovementMeasure,1,1,17
1,EvolutionaryStrategy,33,0.9924894571304321,1,1.4868828435027053,0.42307692307692313,0.5674963420070505,0.0,0.4963095784187317,0,1,23 > 00 > 00 > 00 > 00 > 00 > 04 > 00 > 14 > 00 > 05 > 21 > 17 > 00 > 02 > 27 > 17 > 09 > 07 > 00 > 00 > 31 > 13 > 24 > 25 > 10 > 28,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14,1111,0:00:00.041000,0.0410003662109375,EGW_ES_EGW_DI_RWS_OPC_DM_FIR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DefaultInitiator_RouletteWheelSelector_OnePointCrosser_DefaultMutator_FittestIndividualRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,34,27,21,1,EvolutionaryStrategy,50,500,100,500,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,,DefaultMutator,0.01,0.3,0.3,0.3,0.09000000000000008,FittestIndividualRecombiner,,486,34,27,1111,ImprovementMeasure,1,1,18
1,EvolutionaryStrategy,32,0.9867510795593262,1,1.4869311573198636,0.42307692307692313,0.5704138446097617,0.0,0.4934403896331787,0,1,12 > 00 > 27 > 00 > 00 > 02 > 00 > 21 > 01 > 00 > 16 > 26 > 16 > 00 > 00 > 07 > 08 > 09 > 00 > 10 > 00 > 00 > 24 > 00 > 25 > 10 > 28,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14,1111,0:00:00.041000,0.0410003662109375,EGW_ES_EGW_DI_RWS_OPC_DM_FIR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DefaultInitiator_RouletteWheelSelector_OnePointCrosser_DefaultMutator_FittestIndividualRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,34,27,21,1,EvolutionaryStrategy,50,500,100,500,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,,DefaultMutator,0.01,0.3,0.3,0.3,0.09000000000000008,FittestIndividualRecombiner,,486,34,27,1111,ImprovementMeasure,1,1,19
1,EvolutionaryStrategy,31,0.9948837161064148,1,1.487139951516424,0.4423076923076923,0.5473255513020088,0.0,0.497506707906723,0,1,31 > 33 > 00 > 00 > 00 > 09 > 14 > 00 > 14 > 01 > 08 > 03 > 04 > 05 > 05 > 07 > 09 > 11 > 10 > 05 > 00 > 00 > 28 > 00 > 29 > 25 > 28,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14,1111,0:00:00.041000,0.0410003662109375,EGW_ES_EGW_DI_RWS_OPC_DM_FIR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DefaultInitiator_RouletteWheelSelector_OnePointCrosser_DefaultMutator_FittestIndividualRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,34,27,21,1,EvolutionaryStrategy,50,500,100,500,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,,DefaultMutator,0.01,0.3,0.3,0.3,0.09000000000000008,FittestIndividualRecombiner,,486,34,27,1111,ImprovementMeasure,1,1,20
