run,instance.duration,instance.duration_s,instance.no,iteration.mean_num_zeros,iteration.mean_num_zeros_not_adjusted,iteration.mean_sparcity,iteration.mean_similarity,iteration.mean_feasibility,iteration.mean_delta,iteration.mean_viability,iteration.min_sparcity,iteration.min_similarity,iteration.min_feasibility,iteration.min_delta,iteration.min_viability,iteration.max_sparcity,iteration.max_similarity,iteration.max_feasibility,iteration.max_delta,iteration.max_viability,iteration.median_sparcity,iteration.median_similarity,iteration.median_feasibility,iteration.median_delta,iteration.median_viability,iteration.mean_pred_outcome,iteration.target_outcome,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.operators.vocab_len,row.operators.sample_size,row.operators.evo.num_survivors,row.operators.initiator.type,row.operators.selector.type,row.operators.crosser.type,row.operators.crosser.crossover_rate,row.operators.mutator.type,row.operators.mutator.edit_rate,row.operators.mutator.p_delete,row.operators.mutator.p_insert,row.operators.mutator.p_change,row.operators.recombiner.type,row.operators.recombiner.recombination_rate,row.avg_outcome
1,0:01:26.369859,86.36985945701599,1,0.3281111111111111,0.32811111111111113,0.44364010989010993,0.5898969175059366,0.008807653888848794,0.9351164551202673,1.9774611364051629,0.2701465201465201,0.45391721014371045,0.0,0.0036248762626200914,0.9067157270481835,0.6117216117216118,0.7003450782411542,0.29509347848281,0.9988427758216858,2.5205269918370976,0.43956043956043955,0.5884106647591428,0.0,0.9988096356391907,2.0109597157556274,0.084,0.0,1,1,1,600,200,400,400,1000,0.31129634952572577,0.43518252371371086,0.2535211267605634,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,HierarchicalRecombiner,,0.0
1,0:01:26.369859,86.36985945701599,1,0.3839259259259259,0.38392592592592595,0.4364313186813188,0.589607441016736,0.0,0.9491654493820388,1.9752042090800932,0.2701465201465201,0.45391721014371045,0.0,0.0036248762626200914,0.9067157270481835,0.5695970695970696,0.6868111794361884,0.0,0.9988427758216858,2.2490666853316283,0.4368131868131868,0.5905315981521875,0.0,0.9988128542900085,2.016672503699614,0.063,0.0,2,1,2,1000,200,400,400,1000,0.30028901734104047,0.4283236994219653,0.27138728323699424,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,HierarchicalRecombiner,,0.0
1,0:01:26.369859,86.36985945701599,1,0.41862962962962963,0.41862962962962963,0.4351309523809524,0.6003085380257875,0.0,0.950508990072878,1.985948480479618,0.2701465201465201,0.45391721014371045,0.0,0.0036248762626200914,0.9067157270481835,0.5695970695970696,0.6868111794361884,0.0,0.9988425374031067,2.2490666853316283,0.434981684981685,0.6027863863946278,0.0,0.9988082647323608,2.0260537857126035,0.061,0.0,3,1,3,1000,200,400,400,1000,0.2937853107344633,0.3984537615224502,0.30776092774308655,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,HierarchicalRecombiner,,0.0
1,0:01:26.369859,86.36985945701599,1,0.44896296296296295,0.44896296296296295,0.4309020146520147,0.6046923743520055,0.0,0.9487504221287091,1.984344811132729,0.2701465201465201,0.45391721014371045,0.0,0.0036248762626200914,0.9067157270481835,0.5695970695970696,0.6868111794361884,0.0,0.998842716217041,2.2490666853316283,0.43223443223443225,0.6068286546352852,0.0,0.9987974166870117,2.02583331626954,0.064,0.0,4,1,4,1000,200,400,400,1000,0.28674698795180725,0.3978915662650602,0.3153614457831325,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,HierarchicalRecombiner,,0.0
1,0:01:26.369859,86.36985945701599,1,0.4686666666666667,0.4686666666666667,0.428231684981685,0.5948845163648337,0.0,0.938308041715296,1.9614242430618147,0.2701465201465201,0.45391721014371045,0.0,0.0036248762626200914,0.9067157270481835,0.5467032967032968,0.6825600572055697,0.0,0.998842716217041,2.223681018575547,0.4294871794871795,0.5952829351166806,0.0,0.998775064945221,2.0112165502368167,0.079,0.0,5,1,5,1000,200,400,400,1000,0.24853349799320779,0.3920963260265514,0.3593701759802408,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,HierarchicalRecombiner,,0.0
1,0:01:26.369859,86.36985945701599,1,0.48381481481481486,0.4838148148148148,0.4265851648351649,0.5915092880657371,0.0,0.9423233877934981,1.9604178406944002,0.2417582417582418,0.45391721014371045,0.0,0.0036248762626200914,0.9067157270481835,0.5338827838827838,0.682225522699888,0.0,0.9988424181938171,2.2149274789650266,0.4276556776556777,0.5919836875009331,0.0,0.9987664520740509,2.007541690732266,0.072,0.0,6,1,6,1000,200,400,400,1000,0.26157957244655583,0.3824228028503563,0.3559976247030879,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,HierarchicalRecombiner,,0.0
1,0:01:26.369859,86.36985945701599,1,0.5012962962962962,0.5012962962962964,0.4255283882783884,0.5890646759300522,0.0,0.9424742176823784,1.9570672818908188,0.2417582417582418,0.45391721014371045,0.0,0.0036248762626200914,0.9067157270481835,0.5256410256410257,0.6665351151670456,0.0,0.9988425374031067,2.1882194502136807,0.4267399267399268,0.5903158498063892,0.0,0.9987546503543854,2.007329360368555,0.071,0.0,7,1,7,1000,200,400,400,1000,0.25423207140658666,0.36718990458602646,0.3785780240073869,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,HierarchicalRecombiner,,0.0
1,0:01:26.369859,86.36985945701599,1,0.5137777777777778,0.5137777777777778,0.4240888278388279,0.5881635548522604,0.0,0.9401413061136845,1.9523936888047728,0.2417582417582418,0.45391721014371045,0.0,0.0036248762626200914,0.9067157270481835,0.5485347985347986,0.6805303555831423,0.0,0.9988425374031067,2.2278926115459194,0.42582417582417587,0.590261893178455,0.0,0.9987434446811676,2.00621992116686,0.075,0.0,8,1,8,1000,200,400,400,1000,0.24893227577791335,0.34929835265405734,0.4017693715680293,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,HierarchicalRecombiner,,0.0
1,0:01:26.369859,86.36985945701599,1,0.5248518518518519,0.5248518518518519,0.4238589743589744,0.5798811336868129,0.0,0.951591091737384,1.955331199783171,0.2417582417582418,0.45391721014371045,0.0,0.0036248762626200914,0.9067157270481835,0.5485347985347986,0.6805303555831423,0.0,0.9988425374031067,2.2278926115459194,0.42490842490842495,0.5807274812414496,0.0,0.9987379312515259,1.9958016149558933,0.058,0.0,9,1,9,1000,200,400,400,1000,0.24682779456193354,0.3422960725075529,0.4108761329305136,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,HierarchicalRecombiner,,0.0
1,0:01:26.369859,86.36985945701599,1,0.5352592592592592,0.5352592592592592,0.42402472527472534,0.5751562904909667,0.0,0.9574250747396145,1.9566060905053066,0.2417582417582418,0.45391721014371045,0.0,0.0036248762626200914,0.9067157270481835,0.5485347985347986,0.6805303555831423,0.0,0.9988425374031067,2.2278926115459194,0.42490842490842495,0.5762486642351347,0.0,0.9987118244171143,1.9915430695001668,0.051,0.0,10,1,10,1000,200,400,400,1000,0.24857228734595732,0.3333333333333333,0.41809437932070936,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,HierarchicalRecombiner,,0.0
