run,instance.duration_sec,instance.short_name,instance.full_name,instance.no,iteration.mean_num_zeros,iteration.mean_num_zeros_not_adjusted,iteration.mean_sparcity,iteration.mean_similarity,iteration.mean_feasibility,iteration.mean_delta,iteration.mean_viability,iteration.min_sparcity,iteration.min_similarity,iteration.min_feasibility,iteration.min_delta,iteration.min_viability,iteration.max_sparcity,iteration.max_similarity,iteration.max_feasibility,iteration.max_delta,iteration.max_viability,iteration.median_sparcity,iteration.median_similarity,iteration.median_feasibility,iteration.median_delta,iteration.median_viability,iteration.mean_pred_outcome,iteration.target_outcome,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.operators.vocab_len,row.operators.sample_size,row.operators.evo.num_survivors,row.operators.initiator.type,row.operators.selector.type,row.operators.crosser.type,row.operators.crosser.crossover_rate,row.operators.mutator.type,row.operators.mutator.edit_rate,row.operators.mutator.p_delete,row.operators.mutator.p_insert,row.operators.mutator.p_change,row.operators.recombiner.type,row.operators.recombiner.recombination_rate,row.avg_outcome
1,48.14552307128906,ES_EGW_SBI_ES_OPC_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_OnePointCrosser_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.34025925925925926,0.34025925925925926,0.4932802197802198,0.662834223258001,0.007904288923136445,0.9208287826611194,2.084847514622477,0.3086080586080586,0.5481075389891334,0.0,0.0024035375099629164,0.9235592380430502,0.6675824175824177,0.774252723599192,0.31818087658450117,0.9988436698913574,2.676881365196455,0.4908424908424909,0.6639847747683216,0.0,0.9987882673740387,2.1372853286789564,0.105,0.0,1,1,1,600,200,400,400,1000,0.3120775786071114,0.4237437555098443,0.2641786658830444,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,RankedRecombiner,,0.0
1,48.14552307128906,ES_EGW_SBI_ES_OPC_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_OnePointCrosser_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.378,0.378,0.49914377289377293,0.66165779592949,0.007904288923136445,0.989409675180912,2.1581155329273116,0.33974358974358976,0.5609463170388425,0.0,0.2849651575088501,1.504639820928398,0.6675824175824177,0.774252723599192,0.31818087658450117,0.9988436698913574,2.676881365196455,0.49542124542124544,0.6605124944963299,0.0,0.9988324642181396,2.149093277845733,0.014,0.0,2,1,2,1000,200,400,400,1000,0.3010083036773428,0.4223013048635824,0.27669039145907476,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,RankedRecombiner,,0.0
1,48.14552307128906,ES_EGW_SBI_ES_OPC_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_OnePointCrosser_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.3938888888888889,0.3938888888888889,0.5025357142857143,0.6661936873594196,0.007904288923136445,0.9894569264054298,2.1660906169737,0.3434065934065934,0.5609463170388425,0.0,0.2849651575088501,1.504639820928398,0.6675824175824177,0.774252723599192,0.31818087658450117,0.9988436698913574,2.676881365196455,0.5,0.6658174251772417,0.0,0.9988359808921814,2.162661295303579,0.014,0.0,3,1,3,1000,200,400,400,1000,0.2910515215426333,0.4203073214823742,0.2886411569749925,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,RankedRecombiner,,0.0
1,48.14552307128906,ES_EGW_SBI_ES_OPC_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_OnePointCrosser_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.3911851851851852,0.3911851851851852,0.5029826007326007,0.664484493345568,0.007904288923136445,0.9894616097807885,2.164832992782093,0.336996336996337,0.5373317987073143,0.0,0.2849651575088501,1.504639820928398,0.6675824175824177,0.774252723599192,0.31818087658450117,0.9988436698913574,2.676881365196455,0.5,0.6637350315057535,0.0,0.9988369941711426,2.1612634852958807,0.014,0.0,4,1,4,1000,200,400,400,1000,0.29394812680115273,0.41412103746397694,0.29193083573487033,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,RankedRecombiner,,0.0
1,48.14552307128906,ES_EGW_SBI_ES_OPC_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_OnePointCrosser_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.3895925925925926,0.3895925925925926,0.5028598901098902,0.6613390271635256,0.007904288923136445,0.9894631361365318,2.161566342333084,0.336996336996337,0.5373317987073143,0.0,0.2849651575088501,1.504639820928398,0.6675824175824177,0.774252723599192,0.31818087658450117,0.9988436698913574,2.676881365196455,0.5,0.659886250698988,0.0,0.9988378882408142,2.1566585812547268,0.014,0.0,5,1,5,1000,200,400,400,1000,0.2995843230403801,0.4192399049881235,0.28117577197149646,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,RankedRecombiner,,0.0
1,48.14552307128906,ES_EGW_SBI_ES_OPC_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_OnePointCrosser_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.38755555555555554,0.38755555555555554,0.5020027472527472,0.6606878630727496,0.007904288923136445,0.9894638394713402,2.1600587387199734,0.336996336996337,0.5373317987073143,0.0,0.2849651575088501,1.504639820928398,0.6675824175824177,0.774252723599192,0.31818087658450117,0.9988436698913574,2.676881365196455,0.49954212454212454,0.6592504914727835,0.0,0.9988386034965515,2.1550436618276017,0.014,0.0,6,1,6,1000,200,400,400,1000,0.29359953024075164,0.42748091603053434,0.278919553728714,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,RankedRecombiner,,0.0
1,48.14552307128906,ES_EGW_SBI_ES_OPC_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_OnePointCrosser_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.38907407407407407,0.38907407407407407,0.5006538461538462,0.6591536247648738,0.007904288923136445,0.989464361011982,2.1571761208538383,0.336996336996337,0.5373317987073143,0.0,0.2849651575088501,1.504639820928398,0.6675824175824177,0.774252723599192,0.31818087658450117,0.9988438487052917,2.676881365196455,0.49725274725274726,0.6579489131445928,0.0,0.9988393783569336,2.148786451793613,0.014,0.0,7,1,7,1000,200,400,400,1000,0.3070636310566258,0.4173963806187974,0.27553998832457677,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,RankedRecombiner,,0.0
1,48.14552307128906,ES_EGW_SBI_ES_OPC_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_OnePointCrosser_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.3917407407407408,0.3917407407407407,0.5005503663003663,0.6594997330541965,0.007904288923136445,0.9894647478461266,2.157419136123826,0.336996336996337,0.5373317987073143,0.0,0.2849651575088501,1.504639820928398,0.6675824175824177,0.774252723599192,0.31818087658450117,0.9988438487052917,2.676881365196455,0.49725274725274726,0.6584429596846324,0.0,0.998839795589447,2.1486609921977013,0.014,0.0,8,1,8,1000,200,400,400,1000,0.29189821585258846,0.42673296285463586,0.2813688212927757,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,RankedRecombiner,,0.0
1,48.14552307128906,ES_EGW_SBI_ES_OPC_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_OnePointCrosser_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.3907777777777778,0.3907777777777778,0.5000384615384615,0.6574150400833203,0.007904288923136445,0.9894650239944458,2.154822814539364,0.336996336996337,0.5373317987073143,0.0,0.2849651575088501,1.504639820928398,0.6675824175824177,0.774252723599192,0.31818087658450117,0.9988438487052917,2.676881365196455,0.49542124542124544,0.6553746523302191,0.0,0.9988400340080261,2.1447674661365768,0.014,0.0,9,1,9,1000,200,400,400,1000,0.29119233073696826,0.4316956261234272,0.2771120431396046,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,RankedRecombiner,,0.0
1,48.14552307128906,ES_EGW_SBI_ES_OPC_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_SamplingBasedInitiator_ElitismSelector_OnePointCrosser_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.39451851851851855,0.39451851851851855,0.5015686813186814,0.657009988514864,0.007904288923136445,0.989465294957161,2.155948253713843,0.36721611721611724,0.5620791430416996,0.0,0.2849651575088501,1.504639820928398,0.6675824175824177,0.774252723599192,0.31818087658450117,0.9988438487052917,2.676881365196455,0.4967948717948718,0.6548189528149411,0.0,0.99884033203125,2.1465924047178824,0.014,0.0,10,1,10,1000,200,400,400,1000,0.30501025490770584,0.4154702607676531,0.2795194843246411,35,200,1000,SamplingBasedInitiator,ElitismSelector,OnePointCrosser,,SamplingBasedMutator,0.1,0.14,0.21,0.23,RankedRecombiner,,0.0
